"Sample","Lab.ID","Class","Individual","Bundle.No.","Period","Event.ID","Priority","Selected","Comments","Loci","Sex","site","cid"
"173-32-02",353,"sample","17-2-02","173",4,"32-02",2,1,"","7",204.25,32,2
"364-96-03",702,"sample","31-60-03","364",6,"96-03",1,1,"1st envelope","7",204.25,96,3
"44-14-03",1036,"sample","3002","44",2,"14-03",3,2,"","7",250.25,14,3
"302-41-01",591,"sample","7-34-11","302",5,"41-01",3,1,"1st envelope","7",204.25,41,1
"158-55-04",326,"sample","7-34-11","158",3,"55-04",2,1,"","7",204.25,55,4
"353-78-01",680,"sample","7-34-11","353",6,"78-01",1,1,"1st envelope","7",204.25,78,1
"321-34-04",623,"sample","31-60-03","321",6,"34-04",3,1,"","7",204.25,34,4
"321-34-01",621,"sample","2213","321",6,"34-01",1,1,"","7",250.25,34,1
"70-99-06",149,"sample","12-106-02","70",2,"99-06",2,1,"1st envelope","7",204.25,99,6
"227-56-01",453,"sample","35-69-01","227",4,"56-01",2,1,"","7",250.25,56,1
"99-45-01",214,"sample","35-69-01","99",3,"45-01",2,1,"uf left","7",250.25,45,1
"34-2-7",1012,"sample","3002","262",2,"34-07",4,2,"","7",250.25,34,7
"104-25-01",224,"sample","2213","104",3,"25-01",3,1,"","8",250.25,25,1
"88-89-02",190,"sample","25-55-01","88",2,"89-02",2,1,"","7",204.25,89,2
"342-11-02",662,"sample","13-27-05","342",6,"11-02",1,1,"1st envelope","7",250.25,11,2
"217-81-01",1064,"sample","0056","217",4,"81-01",2,2,"not sure if remaining hairs are from a bear","7",250.25,81,1
"166-45-03",338,"sample","35-69-01","166",4,"45-03",3,1,"","7",250.25,45,3
"369-92-02",711,"sample","67-114-04","369",6,"92-02",1,1,"","7",204.25,92,2
"66-120-01",66,"sample","0056","66",2,"120-01",1,1,"1st envelope","11",250.25,120,1
"89-4-5",867,"sample","7-34-11","111",4,"89-05",4,1,"","7",204.25,89,5
"308-78-02",600,"sample","25-55-01","308",5,"78-02",2,1,"","7",204.25,78,2
"190-28-02",387,"sample","13-27-05","190",4,"28-02",3,1,"","7",250.25,28,2
"334-27-03",1084,"sample","13-27-05","334",6,"27-03",3,2,"","7",250.25,27,3
"106-4-8",897,"sample","133-116-01","143",4,"106-08",4,1,"","7",204.25,106,8
"301-85-01",588,"sample","10-86-01","301",5,"85-01",1,1,"","7",204.25,85,1
"360-21-04",696,"sample","12-106-02","360",6,"21-04",1,1,"","7",204.25,21,4
"61-22-02",61,"sample","31-60-03","61",2,"22-02",1,1,"1st envelope","11",204.25,22,2
"260-62-03",514,"sample","10-86-01","260",5,"62-03",3,1,"75-2 is inthis bundle","7",204.25,62,3
"349-55-03",674,"sample","7-34-11","349",5,"55-03",2,1,"","7",204.25,55,3
"281-113-03",556,"sample","133-116-01","281",5,"113-03",2,1,"","7",204.25,113,3
"384-36-06",739,"sample","2213","384",2,"36-06",1,1,"","7",250.25,36,6
"29-90-05",95,"sample","25-55-01","29",1,"90-05",3,NA,"","11",204.25,90,5
"35-69-01",35,"sample","35-69-01","35",2,"69-01",1,1,"","24",250.25,69,1
"68-34-03",146,"sample","2213","68",5,"34-03",3,1,"","7",250.25,34,3
"400-114-01",1119,"sample","30-120-03","400",6,"114-01",1,3,"different ID in second spreadsheet -  (11-4)this one matches envelope","7",250.25,114,1
"201-121-02",405,"sample","30-120-03","201",4,"121-02",2,1,"2nd envelope","7",250.25,121,2
"60-2-4",839,"sample","31-60-03","80",2,"60-04",4,1,"","7",204.25,60,4
"175-46-06",358,"sample","31-60-03","175",4,"46-06",3,1,"1st envelope","7",204.25,46,6
"326-25-03",630,"sample","2213","326",6,"25-03",1,1,"","7",250.25,25,3
"56-28-02",128,"sample","56-28-01","56",2,"28-02",2,1,"","7",204.25,28,2
"136-98-03",286,"sample","47-64-04","136",3,"98-03",2,1,"","7",250.25,98,3
"10-2-10",995,"sample","13-27-05","245",2,"10-Oct",4,2,"","7",250.25,10,NA
"124-10-03",263,"sample","13-27-05","124",3,"10-03",3,1,"coarse underfur","7",250.25,10,3
"376-121-06",725,"sample","276-121-04","376",6,"121-06",1,1,"1st envelope","7",204.25,121,6
"87-1-5",780,"sample","135-108-03","18",1,"87-05",4,1,"","7",250.25,87,5
"7-34-11",71,"sample","7-34-11","7",4,"34-11",3,1,"1st envelope","24",204.25,34,11
"366-73-02",706,"sample","19-50-05","366",6,"73-02",2,2,"","19",250.25,73,2
"75-100-01",162,"sample","23-100-05","75",2,"100-01",1,1,"","7",204.25,100,1
"38-34-01",110,"sample","31-60-03","38",2,"34-01",3,1,"not sure about the roots on these hairs","7",204.25,34,1
"388-90-06",746,"sample","25-55-01","388",2,"90-06",1,1,"","7",204.25,90,6
"109-3-4",814,"sample","72-119-02","54",3,"109-04",4,1,"","16",204.25,109,4
"105-35-03",1043,"sample","2213","105",3,"35-03",2,2,"coarse underfur","7",250.25,35,3
"34-5-2",789,"sample","2213","28",5,"34-02",4,1,"","7",250.25,34,2
"299-96-02",585,"sample","12-106-02","299",5,"96-02",2,1,"","7",204.25,96,2
"278-114-02",548,"sample","171-105-09","278",5,"114-02",1,1,"","7",204.25,114,2
"235-77-02",469,"sample","235-77-01","235",4,"77-02",2,1,"1st envelope","7",250.25,77,2
"19-50-05",86,"sample","19-50-05","19",4,"50-05",3,1,"","9",250.25,50,5
"380-120-03",732,"sample","0056","380",1,"120-03",3,1,"","7",250.25,120,3
"11-2-5",772,"sample","13-27-05","10",2,"5-Nov",4,1,"","7",250.25,5,NA
"252-4-02",499,"sample","12-106-02","252",5,"4-02",1,1,"","7",204.25,4,2
"27-4-7",784,"sample","13-27-05","23",4,"27-07",4,1,"","7",250.25,27,7
"305-42-04",1077,"sample","7-34-11","305",5,"42-04",2,2,"1st envelope","7",204.25,42,4
"70-99-03",150,"sample","12-106-02","70",2,"99-03",3,1,"1st envelope","7",204.25,99,3
"386-72-04",742,"sample","78-72-05","386",2,"72-04",1,1,"","7",204.25,72,4
"236-78-01",472,"sample","25-55-01","236",4,"78-01",3,1,"","7",204.25,78,1
"370-102-05",713,"sample","0056","370",6,"102-05",1,1,"","7",250.25,102,5
"260-51-02",513,"sample","47-64-04","260",5,"51-02",2,1,"","7",250.25,51,2
"46-3-3",923,"sample","2213","171",3,"46-03",4,1,"1st envelope","7",250.25,46,3
"280-103-10",553,"sample","0056","280",5,"103-10",2,1,"1st envelope","7",250.25,103,10
"237-55-04",473,"sample","7-34-11","237",4,"55-04",1,1,"","7",204.25,55,4
"30-120-03",96,"sample","30-120-03","30",6,"120-03",3,1,"uf left","24",250.25,120,3
"165-46-09",334,"sample","67-114-04","165",4,"46-09",1,1,"","7",204.25,46,9
"60-4-13",919,"sample","67-114-04","166",4,"60-13",4,1,"","7",204.25,60,13
"59-11-03",59,"sample","56-28-01","59",2,"11-03",1,1,"","11",204.25,11,3
"56-2-4",843,"sample","35-69-01","85",2,"56-04",4,1,"","7",250.25,56,4
"310-55-04",603,"sample","7-34-11","310",5,"55-04",1,1,"1st envelope","7",204.25,55,4
"60-16-09",135,"sample","13-27-05","60",2,"16-09",2,1,"1st envelope","7",250.25,16,9
"231-67-03",462,"sample","25-55-01","231",4,"67-03",1,1,"1st envelope","7",204.25,67,3
"94-71-01",1104,"sample","31-60-03","94",3,"71-01",2,3,"1st envelope","7",204.25,71,1
"319-46-08",617,"sample","2213","319",6,"46-08",3,1,"","7",250.25,46,8
"2-5-5",948,"sample","17-2-02","197",5,"5-Feb",4,1,"","7",204.25,5,NA
"92-3-8",829,"sample","0056","69",3,"92-08",4,1,"1st envelope","7",250.25,92,8
"358-56-01",691,"sample","24-66-03","358",6,"56-01",1,1,"1st envelope","7",204.25,56,1
"29-3-5",1014,"sample","45-29-01","265",3,"29-05",4,2,"","7",204.25,29,5
"169-26-03",344,"sample","2213","169",4,"26-03",2,1,"","7",250.25,26,3
"141-100-04",296,"sample","7-34-11","141",3,"100-04",3,1,"1st envelope","7",204.25,100,4
"316-60-04",611,"sample","2213","316",6,"60-04",2,1,"","7",250.25,60,4
"11-2-1",866,"sample","13-27-05","110",2,"1-Nov",4,1,"","7",250.25,1,NA
"134-115-01",281,"sample","50-50-01","134",3,"115-01",1,1,"","7",204.25,115,1
"218-93-01",433,"sample","0056","218",4,"93-01",1,1,"1st envelope","7",250.25,93,1
"364-96-02",703,"sample","12-106-02","364",6,"96-02",2,1,"","7",204.25,96,2
"194-16-03",392,"sample","13-27-05","194",4,"16-03",1,1,"","7",250.25,16,3
"32-4-1",841,"sample","121-22-04","82",4,"32-01",4,1,"1st envelope","7",250.25,32,1
"171-35-02",347,"sample","38-34-09","171",4,"35-02",1,1,"","7",204.25,35,2
"24-66-03",24,"sample","24-66-03","24",1,"66-03",1,1,"2nd envelope","24",204.25,66,3
"242-46-04",483,"sample","38-34-09","242",5,"46-04",2,1,"","7",204.25,46,4
"154-91-04",318,"sample","7-34-11","154",3,"91-04",3,1,"","7",204.25,91,4
"4-5-1",980,"sample","12-106-02","230",5,"4-01",4,1,"","7",204.25,4,1
"158-55-06",325,"sample","25-55-01","158",3,"55-06",1,1,"","7",204.25,55,6
"259-20-02",511,"sample","49-20-03","259",5,"20-02",1,1,"","7",250.25,20,2
"42-6-4",886,"sample","7-34-11","131",6,"42-04",4,1,"1st envelope","7",204.25,42,4
"169-26-04",345,"sample","3002","169",4,"26-04",3,1,"","7",250.25,26,4
"67-6-2",802,"sample","7-34-11","42",6,"67-02",4,1,"1st envelope","7",204.25,67,2
"209-103-03",418,"sample","0056","209",4,"103-03",1,1,"1st envelope","7",250.25,103,3
"276-121-08",1072,"sample","171-105-09","276",5,"121-08",3,2,"coarse underfur, 2ndenvelope","7",204.25,121,8
