"Sample","Lab.ID","Class","Individual","Bundle.No.","Period","Event.ID","Priority","Selected","Comments","Loci","Sex","site","cid"
"46-3-3",923,"sample","2213","171",3,"46-03",4,1,"1st envelope","7",250.25,46,3
"103-5-11",800,"sample","0056","40",5,"103-11",4,1,"","7",250.25,103,11
"58-18-04",132,"sample","56-28-01","58",2,"18-04",3,1,"","7",204.25,18,4
"208-105-05",1109,"sample","171-105-09","208",4,"105-05",3,3,"","7",204.25,105,5
"375-104-02",1091,"sample","0056","375",4,"104-02",2,2,"","7",250.25,104,2
"219-92-02",436,"sample","67-114-04","219",4,"92-02",1,1,"","7",204.25,92,2
"85-41-01",183,"sample","25-55-01","85",2,"41-01",1,1,"1st envelope","7",204.25,41,1
"15-6-1",898,"sample","13-27-05","144",6,"15-01",4,1,"","7",250.25,15,1
"51-86-02",1037,"sample","10-86-01","51",2,"86-02",2,2,"coarse underfur","7",204.25,86,2
"224-72-07",449,"sample","10-86-01","224",4,"72-07",1,1,"","7",204.25,72,7
"120-4-1",942,"sample","120-4-2","190",4,"120-01",4,1,"","7",204.25,120,1
"62-1-01",62,"sample","31-60-03","62",2,"1-01",1,1,"blondish","11",204.25,1,1
"89-67-02",192,"sample","25-55-01","89",2,"67-02",1,1,"1st envelope","7",204.25,67,2
"347-22-06",670,"sample","12-106-02","347",6,"22-06",2,1,"","7",204.25,22,6
"46-87-01",118,"sample","12-106-02","46",2,"87-01",2,1,"coarse underfur","7",204.25,87,1
"16-3-6",880,"sample","13-27-05","125",3,"16-06",4,1,"","7",250.25,16,6
"95-48-01",202,"sample","31-60-03","95",3,"48-01",1,1,"1st envelope, upper/lower designation hard to read","7",204.25,48,1
"33-4-4",984,"sample","2213","234",4,"33-04",4,1,"","7",250.25,33,4
"69-3-4",836,"sample","97-69-05","77",3,"69-04",4,1,"","7",204.25,69,4
"322-36-01",624,"sample","2213","322",6,"36-01",1,1,"","7",250.25,36,1
"5-26-15",5,"sample","2213","5",1,"26-15",1,1,"","12",250.25,26,15
"8-92-04",72,"sample","0056","8",3,"92-04",2,1,"","24",250.25,92,4
"77-85-01",165,"sample","10-86-01","77",2,"85-01",1,1,"","7",204.25,85,1
"116-62-01",242,"sample","12-106-02","116",3,"62-01",1,1,"","7",204.25,62,1
"103-36-01",221,"sample","38-34-09","103",3,"36-01",1,1,"don’t think there are many roots on hairs","7",204.25,36,1
"355-91-03",686,"sample","25-55-01","355",6,"91-03",3,1,"","7",204.25,91,3
"169-26-02",343,"sample","3002","169",4,"26-02",1,1,"","7",250.25,26,2
"244-33-06",487,"sample","2213","244",5,"33-06",3,1,"1st envelope","7",250.25,33,6
"50-50-01",50,"sample","50-50-01","50",2,"50-01",1,1,"","24",204.25,50,1
"189-27-12",383,"sample","13-27-05","189",4,"27-12",1,1,"","7",250.25,27,12
"120-1-11",961,"sample","0056","210",1,"120-11",4,1,"1st envelope","7",250.25,120,11
"310-55-04",603,"sample","7-34-11","310",5,"55-04",1,1,"1st envelope","7",204.25,55,4
"193-17-01",1107,"sample","13-27-05","193",4,"17-01",2,3,"","7",250.25,17,1
"50-4-4",834,"sample","10-86-01","75",4,"50-04",4,1,"1st envelope","7",204.25,50,4
"343-17-01",666,"sample","13-27-05","343",6,"17-01",3,1,"","7",250.25,17,1
"106-5-8",766,"sample","12-106-02","3",5,"106-08",4,1,"","7",204.25,106,8
"307-89-01",598,"sample","7-34-11","307",5,"89-01",1,1,"1st envelope","7",204.25,89,1
"363-84-01",701,"sample","10-86-01","363",6,"84-01",1,1,"","7",204.25,84,1
"395-115-02",756,"sample","171-105-09","395",4,"115-02",1,1,"1st envelope","7",204.25,115,2
"248-36-01",495,"sample","12-106-02","248",5,"36-01",2,1,"1st envelope","7",204.25,36,1
"255-16-04",505,"sample","12-106-02","255",5,"16-04",2,2,"1st envelope","7",204.25,16,4
"98-2-4",882,"sample","12-106-02","127",2,"98-04",4,1,"1st envelope","7",204.25,98,4
"122-15-09",256,"sample","13-27-05","122",2,"15-09",2,1,"1st envelope","7",250.25,15,9
"33-5-1",770,"sample","7-34-11","7",5,"33-01",4,1,"","7",204.25,33,1
"29-3-5",1014,"sample","45-29-01","265",3,"29-05",4,2,"","7",204.25,29,5
"183-62-02",374,"sample","13-27-05","183",4,"62-02",3,1,"","7",250.25,62,2
"10-86-01",10,"sample","10-86-01","10",1,"86-01",1,1,"","24",204.25,86,1
"263-49-02",520,"sample","13-27-05","263",5,"49-02",2,1,"maybe not bear?","7",250.25,49,2
"67-6-2",802,"sample","7-34-11","42",6,"67-02",4,1,"1st envelope","7",204.25,67,2
"11-2-5",772,"sample","13-27-05","10",2,"5-Nov",4,1,"","7",250.25,5,NA
"100-14-08",217,"sample","2213","100",3,"14-08",2,1,"mostly uf left, 1st envelope","8",250.25,14,8
"92-3-8",829,"sample","0056","69",3,"92-08",4,1,"1st envelope","7",250.25,92,8
"67-2-7",873,"sample","25-55-01","118",2,"67-07",4,1,"1st envelope","7",204.25,67,7
"163-59-02",331,"sample","2213","163",4,"59-02",1,1,"","7",250.25,59,2
"267-75-01",527,"sample","12-106-02","267",5,"75-01",3,1,"","7",204.25,75,1
"386-72-06",1093,"sample","78-72-05","386",2,"72-06",2,2,"1st envelope","7",204.25,72,6
"173-32-05",352,"sample","17-2-02","173",4,"32-05",1,1,"","7",204.25,32,5
"296-94-02",578,"sample","67-114-04","296",5,"94-02",1,1,"","7",204.25,94,2
"79-84-03",172,"sample","50-50-01","79",2,"84-03",3,1,"","7",204.25,84,3
"256-87-03",506,"sample","72-119-02","256",5,"87-03",1,1,"","7",204.25,87,3
"348-71-09",672,"sample","2213","348",4,"71-09",3,1,"","7",250.25,71,9
"213-109-05",426,"sample","72-119-02","213",4,"109-05",1,1,"","7",204.25,109,5
"292-101-07",573,"sample","67-114-04","292",6,"101-07",3,1,"","7",204.25,101,7
"45-29-01",45,"sample","45-29-01","45",2,"29-01",1,1,"2nd envelope","24",204.25,29,1
"220-102-01",439,"sample","133-116-01","220",4,"102-01",1,1,"1st envelope","7",204.25,102,1
"56-28-02",128,"sample","56-28-01","56",2,"28-02",2,1,"","7",204.25,28,2
"90-1-4",900,"sample","23-100-05","146",1,"90-04",4,1,"","7",204.25,90,4
"88-2-3",908,"sample","25-55-01","155",2,"88-03",4,1,"1st envelope","7",204.25,88,3
"69-98-01",147,"sample","12-106-02","69",2,"98-01",1,1,"1st envelope","7",204.25,98,1
"155-22-04",320,"sample","17-2-02","155",4,"22-04",3,1,"","7",204.25,22,4
"144-85-05",300,"sample","10-86-01","144",3,"85-05",1,1,"2nd envelope","7",204.25,85,5
"100-1-8",820,"sample","23-100-05","60",1,"100-08",4,1,"","7",204.25,100,8
"273-8-03",540,"sample","25-55-01","273",5,"8-03",3,1,"","7",204.25,8,3
"60-4-4",831,"sample","3002","71",4,"60-04",4,1,"1st envelope","7",250.25,60,4
"210-106-02",422,"sample","12-106-02","210",5,"106-02",3,1,"1st envelope","7",204.25,106,2
"369-92-02",711,"sample","67-114-04","369",6,"92-02",1,1,"","7",204.25,92,2
"302-41-01",591,"sample","7-34-11","302",5,"41-01",3,1,"1st envelope","7",204.25,41,1
"39-5-4",989,"sample","13-27-05","239",5,"39-04",4,2,"","7",250.25,39,4
"103-5-1",904,"sample","0056","150",5,"103-01",4,1,"","7",250.25,103,1
"259-20-02",511,"sample","49-20-03","259",5,"20-02",1,1,"","7",250.25,20,2
"9-16-04",74,"sample","13-27-05","9",4,"16-04",2,1,"","12",250.25,16,4
"17-2-02",17,"sample","17-2-02","17",1,"2-02",1,1,"1st envelope","24",204.25,2,2
"21-5-3",953,"sample","17-2-02","202",5,"21-03",4,1,"","7",204.25,21,3
"28-3-2",872,"sample","13-27-05","117",3,"28-02",4,1,"coarse underfur, 1st envelope","7",250.25,28,2
"86-56-06",186,"sample","25-55-01","86",2,"56-06",1,1,"uf left","7",204.25,56,6
"321-34-01",621,"sample","2213","321",6,"34-01",1,1,"","7",250.25,34,1
"327-15-04",631,"sample","13-27-05","327",6,"15-04",1,1,"","7",250.25,15,4
"252-4-03",501,"sample","12-106-02","252",5,"4-03",3,1,"","7",204.25,4,3
"361-41-05",698,"sample","361-41-05","361",6,"41-05",2,1,"","24",250.25,41,5
"34-3-1",971,"sample","67-114-04","220",3,"34-01",4,1,"coarse underfur","7",204.25,34,1
"142-14-07",297,"sample","3002","142",1,"14-07",2,1,"","7",250.25,14,7
"209-103-04",420,"sample","0056","209",4,"103-04",3,1,"1st envelope","7",250.25,103,4
"174-33-06",355,"sample","2213","174",4,"33-06",2,1,"coarse underfur","7",250.25,33,6
"171-35-02",347,"sample","38-34-09","171",4,"35-02",1,1,"","7",204.25,35,2
"260-51-02",513,"sample","47-64-04","260",5,"51-02",2,1,"","7",250.25,51,2
"98-57-01",210,"sample","35-69-01","98",3,"57-01",1,1,"","7",250.25,57,1
"335-38-02",647,"sample","13-27-05","335",6,"38-02",2,1,"","7",250.25,38,2
"277-120-07",547,"sample","0056","277",5,"120-07",2,1,"1st envelope","7",250.25,120,7
"14-16-07",14,"sample","12-106-02","14",1,"16-07",2,NA,"3rd envelope","7",204.25,16,7
"187-86-04",379,"sample","12-106-02","187",4,"86-04",1,1,"","7",204.25,86,4
"95-34-07",204,"sample","2213","95",3,"34-07",3,1,"","7",250.25,34,7
"26-1-23",797,"sample","2213","36",1,"26-23",4,1,"","7",250.25,26,23
"15-22-02",82,"sample","25-55-01","15",1,"22-02",3,1,"","11",204.25,22,2
"194-16-01",393,"sample","13-27-05","194",4,"16-01",3,1,"coarse underfur","7",250.25,16,1
"264-38-01",521,"sample","13-27-05","264",5,"38-01",1,1,"coarse underfur","7",250.25,38,1
"167-14-03",339,"sample","2213","167",4,"14-03",1,1,"","7",250.25,14,3
"270-22-02",1113,"sample","17-2-02","270",5,"22-02",2,3,"","7",204.25,22,2
"181-50-01",370,"sample","10-86-01","181",4,"50-01",2,2,"","7",204.25,50,1
"375-72-07",724,"sample","10-86-01","375",2,"72-07",3,1,"","7",204.25,72,7
"251-5-02",1067,"sample","12-106-02","251",5,"5-02",3,2,"","7",204.25,5,2
"277-120-06",546,"sample","0056","277",5,"120-06",1,1,"1st envelope","7",250.25,120,6
"40-35-04",40,"sample","2213","40",2,"35-04",1,1,"","12",250.25,35,4
"152-46-07",313,"sample","31-60-03","152",3,"46-07",3,1,"","7",204.25,46,7
"56-2-4",843,"sample","35-69-01","85",2,"56-04",4,1,"","7",250.25,56,4
"361-41-06",697,"sample","17-2-02","361",6,"41-06",1,1,"","7",204.25,41,6
"354-26-16",683,"sample","2213","354",1,"26-16",3,1,"","7",250.25,26,16
"90-4-1",1002,"sample","25-55-01","252",4,"90-01",4,2,"1st envelope","7",204.25,90,1
"341-4-01",661,"sample","12-106-02","341",6,"4-01",3,1,"2nd envelope","7",204.25,4,1
"271-1-02",534,"sample","12-106-02","271",5,"1-02",1,1,"","7",204.25,1,2
"62-4-9",811,"sample","12-106-02","51",4,"62-09",4,1,"","7",204.25,62,9
"39-36-05",39,"sample","2213","39",2,"36-05",1,1,"","12",250.25,36,5
"89-4-5",867,"sample","7-34-11","111",4,"89-05",4,1,"","7",204.25,89,5
"59-11-04",133,"sample","13-27-05","59",2,"11-04",2,1,"","7",250.25,11,4
"264-26-17",523,"sample","2213","264",1,"26-17",3,1,"2nd envelope","7",250.25,26,17
"191-5-02",388,"sample","12-106-02","191",4,"5-02",1,1,"","7",204.25,5,2
"3-14-02",69,"sample","2213","3",1,"14-02",2,1,"","10",250.25,14,2
"14-1-5",927,"sample","2213","175",1,"14-05",4,1,"","7",250.25,14,5
"10-3-2",1008,"sample","13-27-05","258",3,"10-02",4,2,"1st envelope","7",250.25,10,2
"190-28-02",387,"sample","13-27-05","190",4,"28-02",3,1,"","7",250.25,28,2
"355-91-01",685,"sample","25-55-01","355",6,"91-01",2,1,"","7",204.25,91,1
"71-108-01",151,"sample","67-114-04","71",2,"108-01",1,1,"1st envelope","7",204.25,108,1
"60-6-2",987,"sample","2213","237",6,"60-02",4,2,"","7",250.25,60,2
"254-18-02",504,"sample","13-27-05","254",5,"18-02",1,1,"","7",250.25,18,2
"274-10-02",542,"sample","12-106-02","274",5,"10-02",2,1,"","7",204.25,10,2
"60-16-06",136,"sample","13-27-05","60",2,"16-06",3,1,"","7",250.25,16,6
"358-103-04",692,"sample","0056","358",5,"103-04",2,1,"","7",250.25,103,4
"292-114-04",572,"sample","171-105-09","292",6,"114-04",2,1,"","7",204.25,114,4
"119-27-04",249,"sample","13-27-05","119",3,"27-04",1,1,"coarse underfur, 1st envelope","7",250.25,27,4
"100-3-6",912,"sample","7-34-11","159",3,"100-06",4,1,"","7",204.25,100,6
"267-75-03",526,"sample","12-106-02","267",5,"75-03",1,1,"","7",204.25,75,3
"239-14-05",478,"sample","2213","239",2,"14-05",3,1,"1st envelope","7",250.25,14,5
"100-14-02",216,"sample","2213","100",3,"14-02",1,1,"uf left","8",250.25,14,2
"276-121-04",545,"sample","276-121-04","276",5,"121-04",1,1,"","24",204.25,121,4
"153-90-02",315,"sample","25-55-01","153",3,"90-02",2,1,"uf left mostly","7",204.25,90,2
"36-3-4",771,"sample","31-60-03","9",3,"36-04",4,1,"","7",204.25,36,4
"56-75-02",129,"sample","12-106-02","56",6,"75-02",3,1,"","7",204.25,75,2
"121-6-5",911,"sample","276-121-04","158",6,"121-05",4,1,"","7",204.25,121,5
"335-96-11",648,"sample","0056","335",2,"96-11",3,1,"1st envelope","7",250.25,96,11
"234-89-06",467,"sample","25-55-01","234",4,"89-06",3,1,"","7",204.25,89,6
"45-5-1",940,"sample","35-69-01","188",5,"45-01",4,1,"","7",250.25,45,1
"174-33-09",356,"sample","67-114-04","174",4,"33-09",3,1,"","7",204.25,33,9
"225-94-03",451,"sample","67-114-04","225",4,"94-03",2,1,"3rd envelope","7",204.25,94,3
"4-5-1",980,"sample","12-106-02","230",5,"4-01",4,1,"","7",204.25,4,1
"119-4-1",790,"sample","72-119-02","29",4,"119-01",4,1,"","7",204.25,119,1
"286-99-04",562,"sample","6-87-08","286",5,"99-04",1,1,"1st envelope","7",250.25,99,4
"121-22-01",254,"sample","31-60-03","121",3,"22-01",1,1,"2nd envelope","7",204.25,22,1
"123-2-01",260,"sample","12-106-02","123",3,"2-01",3,1,"1st envelope","7",204.25,2,1
"321-34-04",623,"sample","31-60-03","321",6,"34-04",3,1,"","7",204.25,34,4
"60-16-02",60,"sample","13-27-05","60",2,"16-02",1,1,"","12",250.25,16,2
"274-10-05",541,"sample","12-106-02","274",5,"10-05",1,1,"","7",204.25,10,5
"26-2-13",949,"sample","41-26-05","198",2,"26-13",4,1,"","7",204.25,26,13
"171-35-01",348,"sample","3002","171",4,"35-01",2,1,"coarse underfur","7",250.25,35,1
"120-18-05",253,"sample","13-27-05","120",3,"18-05",3,1,"","7",250.25,18,5
"257-39-02",508,"sample","13-27-05","257",5,"39-02",2,3,"","7",250.25,39,2
"106-4-8",897,"sample","133-116-01","143",4,"106-08",4,1,"","7",204.25,106,8
"291-92-01",569,"sample","131-103-04","291",5,"92-01",1,1,"","7",204.25,92,1
"12-62-01",77,"sample","10-86-01","12",1,"62-01",2,1,"","12",204.25,62,1
"175-46-06",358,"sample","31-60-03","175",4,"46-06",3,1,"1st envelope","7",204.25,46,6
"172-34-09",351,"sample","7-34-11","172",4,"34-09",2,1,"","7",204.25,34,9
"164-48-02",333,"sample","31-60-03","164",4,"48-02",1,1,"1st envelope","7",204.25,48,2
"11-75-04",11,"sample","10-86-01","11",1,"75-04",1,1,"","12",204.25,75,4
"96-46-05",206,"sample","31-60-03","96",3,"46-05",2,1,"1st envelope","7",204.25,46,5
"12-106-02",78,"sample","12-106-02","12",2,"106-02",3,1,"","24",204.25,106,2
"100-3-3",994,"sample","7-34-11","244",3,"100-03",4,2,"","7",204.25,100,3
"152-89-01",312,"sample","25-55-01","152",3,"89-01",1,1,"2nd envelope","7",204.25,89,1
"64-2-1",781,"sample","47-64-04","20",2,"64-01",4,1,"","7",250.25,64,1
"292-107-01",571,"sample","10-86-01","292",5,"107-01",1,1,"","7",204.25,107,1
"360-21-06",1089,"sample","7-34-11","360",6,"21-06",3,2,"1st envelope","7",204.25,21,6
"34-4-7",837,"sample","2213","78",4,"34-07",4,1,"","7",250.25,34,7
