"Sample","Lab.ID","Class","Individual","Bundle.No.","Period","Event.ID","Priority","Selected","Comments","Loci","Sex","site","cid"
"60-6-1",774,"sample","2213","12",6,"60-01",4,1,"","7",250.25,60,1
"13-27-03",80,"sample","13-27-05","13",1,"27-03",3,1,"1st envelope","12",250.25,27,3
"230-92-06",461,"sample","0056","230",3,"92-06",3,1,"1st envelope","7",250.25,92,6
"7-34-11",71,"sample","7-34-11","7",4,"34-11",3,1,"1st envelope","24",204.25,34,11
"11-3-5",845,"sample","13-27-05","87",3,"11-05",4,1,"","7",250.25,11,5
"96-46-02",205,"sample","31-60-03","96",3,"46-02",1,1,"1st envelope","7",204.25,46,2
"190-28-04",386,"sample","13-27-05","190",4,"28-04",1,1,"","7",250.25,28,4
"301-14-01",589,"sample","2213","301",6,"14-01",2,1,"","7",250.25,14,1
"194-16-03",392,"sample","13-27-05","194",4,"16-03",1,1,"","7",250.25,16,3
"353-78-01",680,"sample","7-34-11","353",6,"78-01",1,1,"1st envelope","7",204.25,78,1
"29-90-06",29,"sample","23-100-05","29",1,"90-06",1,1,"1st envelope","12",204.25,90,6
"83-21-01",1102,"sample","31-60-03","83",2,"21-01",2,3,"","7",204.25,21,1
"280-103-05",554,"sample","131-103-04","280",5,"103-05",3,1,"","7",204.25,103,5
"181-50-01",370,"sample","10-86-01","181",4,"50-01",2,2,"","7",204.25,50,1
"93-55-02",199,"sample","25-55-01","93",2,"55-02",1,1,"1st envelope","7",204.25,55,2
"18-3-4",1010,"sample","13-27-05","260",3,"18-04",4,2,"","7",250.25,18,4
"398-99-02",761,"sample","31-60-03","398",5,"99-02",2,1,"","7",204.25,99,2
"146-96-03",305,"sample","31-60-03","146",3,"96-03",2,1,"not bear?","7",204.25,96,3
"208-105-08",417,"sample","171-105-09","208",4,"105-08",1,1,"","7",204.25,105,8
"18-2-1",947,"sample","56-28-01","196",2,"18-01",4,1,"","7",204.25,18,1
"395-62-07",757,"sample","10-86-01","395",2,"62-07",3,1,"","7",204.25,62,7
"136-98-02",285,"sample","47-64-04","136",3,"98-02",1,1,"","7",250.25,98,2
"34-2-2",838,"sample","2213","79",2,"34-02",4,1,"1st envelope","7",250.25,34,2
"196-23-04",397,"sample","17-2-02","196",4,"23-04",3,1,"","7",204.25,23,4
"260-51-02",513,"sample","47-64-04","260",5,"51-02",2,1,"","7",250.25,51,2
"114-5-1",899,"sample","67-114-04","145",5,"114-01",4,1,"1st envelope","7",204.25,114,1
"142-14-07",297,"sample","3002","142",1,"14-07",2,1,"","7",250.25,14,7
"44-14-04",44,"sample","2213","44",2,"14-04",1,1,"","12",250.25,14,4
"386-72-04",742,"sample","78-72-05","386",2,"72-04",1,1,"","7",204.25,72,4
"137-109-02",288,"sample","72-119-02","137",3,"109-02",2,NA,"","24",204.25,109,2
"88-89-04",189,"sample","25-55-01","88",2,"89-04",1,1,"1st envelope","7",204.25,89,4
"45-29-01",45,"sample","45-29-01","45",2,"29-01",1,1,"2nd envelope","24",204.25,29,1
"120-1-12",965,"sample","0056","214",1,"120-12",4,1,"1st envelope","7",250.25,120,12
"340-5-02",658,"sample","12-106-02","340",6,"5-02",2,1,"","7",204.25,5,2
"296-22-05",579,"sample","31-60-03","296",3,"22-05",3,1,"maybe not bear?","7",204.25,22,5
"123-2-04",259,"sample","12-106-02","123",3,"2-04",2,1,"","7",204.25,2,4
"84-66-01",182,"sample","84-66-02","84",2,"66-01",3,1,"","7",250.25,66,1
"67-6-2",802,"sample","7-34-11","42",6,"67-02",4,1,"1st envelope","7",204.25,67,2
"68-34-03",146,"sample","2213","68",5,"34-03",3,1,"","7",250.25,34,3
"98-2-6",870,"sample","12-106-02","115",2,"98-06",4,1,"1st envelope","7",204.25,98,6
"333-28-01",643,"sample","13-27-05","333",6,"28-01",3,1,"","7",250.25,28,1
"103-36-05",222,"sample","38-34-09","103",3,"36-05",3,1,"","24",204.25,36,5
"96-2-12",891,"sample","0056","136",2,"96-02",4,1,"","7",250.25,96,2
"46-87-01",118,"sample","12-106-02","46",2,"87-01",2,1,"coarse underfur","7",204.25,87,1
"171-35-01",348,"sample","3002","171",4,"35-01",2,1,"coarse underfur","7",250.25,35,1
"135-108-03",283,"sample","135-108-03","135",3,"108-03",1,1,"weird shorty hairs","24",250.25,108,3
"52-75-02",1038,"sample","12-106-02","52",2,"75-02",3,2,"","7",204.25,75,2
"50-5-5",936,"sample","19-50-05","184",5,"50-05",4,1,"","7",250.25,50,5
"176-29-03",1053,"sample","45-29-01","176",4,"29-03",3,2,"","7",204.25,29,3
"153-90-03",314,"sample","25-55-01","153",3,"90-03",1,1,"1st envelope","7",204.25,90,3
