"Sample","Lab.ID","Class","Individual","Bundle.No.","Period","Event.ID","Priority","Selected","Comments","Loci","Sex","site","cid"
"62-1-03",139,"sample","31-60-03","62",2,"1-03",2,1,"1st envelope","7",204.25,1,3
"106-3-3",825,"sample","67-114-04","65",3,"106-03",4,1,"","7",204.25,106,3
"29-4-2",966,"sample","45-29-01","215",4,"29-02",4,1,"","7",204.25,29,2
"359-42-01",695,"sample","17-2-02","359",6,"42-01",3,1,"","7",204.25,42,1
"373-99-02",720,"sample","13-27-05","373",6,"99-02",2,1,"","7",250.25,99,2
"21-5-7",890,"sample","17-2-02","135",5,"21-07",4,1,"","7",204.25,21,7
"206-115-03",414,"sample","171-105-09","206",3,"115-03",1,1,"","7",204.25,115,3
"322-36-01",624,"sample","2213","322",6,"36-01",1,1,"","7",250.25,36,1
"33-5-2",957,"sample","67-114-04","206",5,"33-02",4,1,"","7",204.25,33,2
"76-96-07",164,"sample","0056","76",2,"96-07",3,1,"","8",250.25,96,7
"35-2-6",958,"sample","2213","207",2,"35-06",4,1,"","7",250.25,35,6
"146-96-03",305,"sample","31-60-03","146",3,"96-03",2,1,"not bear?","7",204.25,96,3
"355-91-02",684,"sample","25-55-01","355",6,"91-02",1,1,"","7",204.25,91,2
"97-69-03",209,"sample","97-69-05","97",3,"69-03",3,1,"uf left, 1st envelope","7",204.25,69,3
"117-50-01",244,"sample","10-86-01","117",3,"50-01",1,1,"faded at tip, almost look like griz, pretty much uf left","7",204.25,50,1
"369-92-02",711,"sample","67-114-04","369",6,"92-02",1,1,"","7",204.25,92,2
"323-35-02",626,"sample","2213","323",6,"35-02",2,1,"","7",250.25,35,2
"270-22-02",1113,"sample","17-2-02","270",5,"22-02",2,3,"","7",204.25,22,2
"252-4-03",501,"sample","12-106-02","252",5,"4-03",3,1,"","7",204.25,4,3
"10-2-5",844,"sample","13-27-05","86",2,"5-Oct",4,1,"","7",250.25,5,NA
"26-2-13",949,"sample","41-26-05","198",2,"26-13",4,1,"","7",204.25,26,13
"18-8-03",18,"sample","17-2-02","18",1,"8-03",1,1,"2nd envelope","11",204.25,8,3
"38-34-01",110,"sample","31-60-03","38",2,"34-01",3,1,"not sure about the roots on these hairs","7",204.25,34,1
"361-41-05",698,"sample","361-41-05","361",6,"41-05",2,1,"","24",250.25,41,5
"90-4-1",1002,"sample","25-55-01","252",4,"90-01",4,2,"1st envelope","7",204.25,90,1
"144-85-01",301,"sample","10-86-01","144",3,"85-01",3,1,"","7",204.25,85,1
"89-2-3",868,"sample","25-55-01","113",2,"89-03",4,1,"1st envelope","7",204.25,89,3
"120-18-05",253,"sample","13-27-05","120",3,"18-05",3,1,"","7",250.25,18,5
"46-6-3",778,"sample","2213","16",6,"46-03",4,1,"1st envelope","7",250.25,46,3
"82-42-03",178,"sample","82-42-01","82",2,"42-03",2,1,"1st envelope","7",204.25,42,3
"60-4-4",831,"sample","3002","71",4,"60-04",4,1,"1st envelope","7",250.25,60,4
"334-27-03",1084,"sample","13-27-05","334",6,"27-03",3,2,"","7",250.25,27,3
"173-32-02",353,"sample","17-2-02","173",4,"32-02",2,1,"","7",204.25,32,2
"198-1-02",400,"sample","12-106-02","198",4,"1-02",1,1,"","7",204.25,1,2
"150-113-04",311,"sample","0056","150",4,"113-04",3,NA,"","7",250.25,113,4
"347-22-03",669,"sample","347-22-03","347",6,"22-03",1,1,"","24",250.25,22,3
"61-22-03",137,"sample","31-60-03","61",2,"22-03",2,1,"1st envelope","7",204.25,22,3
"358-103-04",692,"sample","0056","358",5,"103-04",2,1,"","7",250.25,103,4
"59-11-03",59,"sample","56-28-01","59",2,"11-03",1,1,"","11",204.25,11,3
"10-86-01",10,"sample","10-86-01","10",1,"86-01",1,1,"","24",204.25,86,1
"58-18-04",132,"sample","56-28-01","58",2,"18-04",3,1,"","7",204.25,18,4
"99-2-1",939,"sample","12-106-02","187",2,"99-01",4,1,"","7",204.25,99,1
"267-75-01",527,"sample","12-106-02","267",5,"75-01",3,1,"","7",204.25,75,1
"271-1-02",534,"sample","12-106-02","271",5,"1-02",1,1,"","7",204.25,1,2
"187-86-06",380,"sample","10-86-01","187",4,"86-06",3,1,"1st envelope","7",204.25,86,6
"122-62-06",257,"sample","12-106-02","122",5,"62-06",3,1,"","7",204.25,62,6
"87-4-5",875,"sample","72-119-02","120",4,"87-05",4,1,"","7",204.25,87,5
"234-89-04",466,"sample","25-55-01","234",4,"89-04",1,1,"1st envelope","7",204.25,89,4
"350-10-03",677,"sample","13-27-05","350",6,"10-03",3,1,"","7",250.25,10,3
"232-11-01",1065,"sample","13-27-05","232",5,"11-01",2,2,"","7",250.25,11,1
"367-61-03",708,"sample","19-50-05","367",6,"61-03",2,1,"","7",250.25,61,3
"220-62-06",440,"sample","10-86-01","220",4,"62-06",2,1,"coarse underfur","7",204.25,62,6
"95-34-07",204,"sample","2213","95",3,"34-07",3,1,"","7",250.25,34,7
"120-5-1",881,"sample","0056","126",5,"120-01",4,1,"1st envelope","7",250.25,120,1
"12-106-02",78,"sample","12-106-02","12",2,"106-02",3,1,"","24",204.25,106,2
"249-35-01",496,"sample","2213","249",5,"35-01",1,1,"","7",250.25,35,1
"221-100-05",443,"sample","7-34-11","221",4,"100-05",2,1,"","7",204.25,100,5
"83-21-03",1042,"sample","31-60-03","83",2,"21-03",3,2,"coarse underfur","7",204.25,21,3
"264-26-17",523,"sample","2213","264",1,"26-17",3,1,"2nd envelope","7",250.25,26,17
"6-87-08",6,"sample","6-87-08","6",1,"87-08",2,NA,"1st envelope in group","7",250.25,87,8
"296-94-02",578,"sample","67-114-04","296",5,"94-02",1,1,"","7",204.25,94,2
