"Sample","Lab.ID","Class","Individual","Bundle.No.","Period","Event.ID","Priority","Selected","Comments","Loci","Sex","site","cid"
"60-4-1",943,"sample","2213","191",4,"60-01",4,1,"","7",250.25,60,1
"13-27-05",13,"sample","13-27-05","13",1,"27-05",1,1,"","24",250.25,27,5
"123-2-04",259,"sample","12-106-02","123",3,"2-04",2,1,"","7",204.25,2,4
"26-1-12",932,"sample","2213","180",1,"26-12",4,1,"1st envelope","7",250.25,26,12
"16-5-2",935,"sample","12-106-02","183",5,"16-02",4,1,"","7",204.25,16,2
"356-53-04",687,"sample","17-2-02","356",6,"53-04",1,1,"","7",204.25,53,4
"240-60-03",479,"sample","2213","240",5,"60-03",1,1,"","7",250.25,60,3
"252-4-02",499,"sample","12-106-02","252",5,"4-02",1,1,"","7",204.25,4,2
"267-75-01",527,"sample","12-106-02","267",5,"75-01",3,1,"","7",204.25,75,1
"361-41-06",697,"sample","17-2-02","361",6,"41-06",1,1,"","7",204.25,41,6
"324-26-01",627,"sample","2213","324",6,"26-01",1,1,"","7",250.25,26,1
"223-73-02",447,"sample","10-86-01","223",4,"73-02",1,1,"","7",204.25,73,2
"46-87-01",118,"sample","12-106-02","46",2,"87-01",2,1,"coarse underfur","7",204.25,87,1
"147-33-02",307,"sample","7-34-11","147",5,"33-02",3,1,"coarse underfur","7",204.25,33,2
"14-1-9",804,"sample","2213","44",1,"14-09",4,1,"","7",250.25,14,9
"10-2-7",955,"sample","13-27-05","204",2,"7-Dec",4,1,"","7",250.25,7,NA
"60-4-13",919,"sample","67-114-04","166",4,"60-13",4,1,"","7",204.25,60,13
"152-46-07",313,"sample","31-60-03","152",3,"46-07",3,1,"","7",204.25,46,7
"1-69-01",1,"sample","35-69-01","1",1,"69-01",1,1,"","11",250.25,69,1
"30-91-01",30,"sample","30-91-01","30",1,"91-01",1,1,"1st envelope","24",204.25,91,1
"117-50-01",244,"sample","10-86-01","117",3,"50-01",1,1,"faded at tip, almost look like griz, pretty much uf left","7",204.25,50,1
"77-60-02",166,"sample","3002","77",4,"60-02",2,1,"1st envelope","7",250.25,60,2
"80-83-04",174,"sample","67-114-04","80",2,"83-04",2,1,"","7",204.25,83,4
"42-6-3",916,"sample","7-34-11","163",6,"42-03",4,1,"1st envelope","7",204.25,42,3
"293-117-02",574,"sample","10-86-01","293",5,"117-02",1,1,"","7",204.25,117,2
"16-96-03",83,"sample","12-106-02","16",2,"96-03",3,1,"","11",204.25,96,3
"62-4-9",811,"sample","12-106-02","51",4,"62-09",4,1,"","7",204.25,62,9
"163-59-02",331,"sample","2213","163",4,"59-02",1,1,"","7",250.25,59,2
"60-4-11",889,"sample","2213","134",4,"60-11",4,1,"","7",250.25,60,11
"220-102-01",439,"sample","133-116-01","220",4,"102-01",1,1,"1st envelope","7",204.25,102,1
"40-35-09",112,"sample","2213","40",2,"35-09",3,1,"coarse underfur, not sure about roots","7",250.25,35,9
"60-16-09",135,"sample","13-27-05","60",2,"16-09",2,1,"1st envelope","7",250.25,16,9
"21-34-05",89,"sample","31-60-03","21",3,"34-05",3,1,"perhaps not bear?","11",204.25,34,5
"18-2-1",947,"sample","56-28-01","196",2,"18-01",4,1,"","7",204.25,18,1
"100-1-11",917,"sample","23-100-05","164",1,"100-11",4,1,"","7",204.25,100,11
"116-62-01",242,"sample","12-106-02","116",3,"62-01",1,1,"","7",204.25,62,1
"392-71-01",753,"sample","67-114-04","392",4,"71-01",2,1,"","7",204.25,71,1
"93-55-03",1103,"sample","25-55-01","93",2,"55-03",3,3,"","7",204.25,55,3
"217-81-01",1064,"sample","0056","217",4,"81-01",2,2,"not sure if remaining hairs are from a bear","7",250.25,81,1
"290-93-01",568,"sample","67-114-04","290",5,"93-01",2,3,"","7",204.25,93,1
"13-27-03",80,"sample","13-27-05","13",1,"27-03",3,1,"1st envelope","12",250.25,27,3
"324-10-02",1080,"sample","13-27-05","324",2,"10-02",3,2,"","7",250.25,10,2
"286-99-03",563,"sample","6-87-08","286",5,"99-03",2,1,"","7",250.25,99,3
"333-28-01",643,"sample","13-27-05","333",6,"28-01",3,1,"","7",250.25,28,1
"86-4-3",764,"sample","13-27-05","1",4,"86-03",4,1,"1st envelope","7",250.25,86,3
"293-53-02",1075,"sample","17-2-02","293",6,"53-02",3,2,"","7",204.25,53,2
"326-25-03",630,"sample","2213","326",6,"25-03",1,1,"","7",250.25,25,3
"241-71-02",481,"sample","2213","241",5,"71-02",2,1,"","7",250.25,71,2
"365-14-06",705,"sample","2213","365",3,"14-06",3,1,"1st envelope","7",250.25,14,6
"29-90-06",29,"sample","23-100-05","29",1,"90-06",1,1,"1st envelope","12",204.25,90,6
"213-109-03",428,"sample","72-119-02","213",4,"109-03",3,1,"","7",204.25,109,3
"92-3-1",850,"sample","67-114-04","92",3,"92-01",4,1,"1st envelope","7",204.25,92,1
"296-22-05",579,"sample","31-60-03","296",3,"22-05",3,1,"maybe not bear?","7",204.25,22,5
"243-45-03",485,"sample","35-69-01","243",5,"45-03",3,1,"","7",250.25,45,3
"235-77-02",469,"sample","235-77-01","235",4,"77-02",2,1,"1st envelope","7",250.25,77,2
"180-38-01",368,"sample","13-27-05","180",4,"38-01",2,1,"","7",250.25,38,1
"101-6-1",801,"sample","67-114-04","41",6,"101-01",4,1,"","7",204.25,101,1
"214-107-02",429,"sample","31-60-03","214",4,"107-02",1,1,"maybe not bear?","7",204.25,107,2
"390-83-01",749,"sample","67-114-04","390",3,"83-01",3,1,"1st envelope","7",204.25,83,1
"394-10-01",755,"sample","13-27-05","394",4,"10-01",3,1,"","7",250.25,10,1
"313-77-03",1116,"sample","25-55-01","313",5,"77-03",3,3,"2nd envelope","7",204.25,77,3
"56-28-01",56,"sample","56-28-01","56",2,"28-01",1,1,"","24",204.25,28,1
"60-6-2",987,"sample","2213","237",6,"60-02",4,2,"","7",250.25,60,2
"71-5-3",775,"sample","2213","13",5,"71-03",4,1,"","7",250.25,71,3
"278-114-03",1073,"sample","131-103-04","278",5,"114-03",3,2,"1st envelope","7",204.25,114,3
"228-21-02",455,"sample","31-60-03","228",4,"21-02",1,1,"1st envelope","7",204.25,21,2
"54-62-06",1039,"sample","50-50-01","54",2,"62-06",2,2,"","7",204.25,62,6
"394-10-04",754,"sample","38-34-09","394",4,"10-04",2,1,"","7",204.25,10,4
"142-14-07",297,"sample","3002","142",1,"14-07",2,1,"","7",250.25,14,7
"184-81-04",375,"sample","0056","184",4,"81-04",2,1,"only uf left, 1st envelope","7",250.25,81,4
"59-4-1",915,"sample","31-60-03","162",4,"59-01",4,1,"1st envelope","7",204.25,59,1
"120-4-2",926,"sample","120-4-2","174",4,"120-02",4,1,"1st envelope","24",204.25,120,2
"336-50-01",650,"sample","10-86-01","336",6,"50-01",2,1,"","7",204.25,50,1
"228-21-04",457,"sample","31-60-03","228",4,"21-04",3,1,"1st envelope","7",204.25,21,4
"358-103-04",692,"sample","0056","358",5,"103-04",2,1,"","7",250.25,103,4
"121-5-1",1011,"sample","276-121-04","261",5,"121-01",4,2,"1st envelope","7",204.25,121,1
"273-8-01",539,"sample","17-2-02","273",5,"8-01",1,1,"","7",204.25,8,1
"172-34-13",350,"sample","2213","172",4,"34-13",1,1,"34-1 is in this bundle too","7",250.25,34,13
"198-1-02",400,"sample","12-106-02","198",4,"1-02",1,1,"","7",204.25,1,2
"93-4-3",1120,"sample","0056","280",4,"93-03",4,3,"2nd envelope","7",250.25,93,3
"120-4-3",974,"sample","120-4-2","224",4,"120-03",4,1,"2nd envelope","7",204.25,120,3
"90-1-2",856,"sample","23-100-05","100",1,"90-02",4,1,"","7",204.25,90,2
"40-35-04",40,"sample","2213","40",2,"35-04",1,1,"","12",250.25,35,4
"87-77-05",188,"sample","25-55-01","87",2,"77-05",1,1,"","7",204.25,77,5
"201-108-02",1061,"sample","135-108-03","201",3,"108-02",3,2,"","7",250.25,108,2
"156-66-01",321,"sample","24-66-03","156",3,"66-01",1,1,"","11",204.25,66,1
"62-1-03",139,"sample","31-60-03","62",2,"1-03",2,1,"1st envelope","7",204.25,1,3
"291-92-01",569,"sample","131-103-04","291",5,"92-01",1,1,"","7",204.25,92,1
"376-121-03",727,"sample","276-121-04","376",6,"121-03",3,1,"1st envelope","7",204.25,121,3
"94-71-01",1104,"sample","31-60-03","94",3,"71-01",2,3,"1st envelope","7",204.25,71,1
"239-57-01",476,"sample","35-69-01","239",5,"57-01",1,1,"1st envelope","7",250.25,57,1
"146-96-03",305,"sample","31-60-03","146",3,"96-03",2,1,"not bear?","7",204.25,96,3
"101-6-4",894,"sample","67-114-04","139",6,"101-04",4,1,"","7",204.25,101,4
"3-14-10",3,"sample","2213","3",1,"14-10",1,1,"","24",250.25,14,10
"39-5-4",989,"sample","13-27-05","239",5,"39-04",4,2,"","7",250.25,39,4
"92-83-09",198,"sample","67-114-04","92",3,"83-09",3,1,"2nd envelope","7",204.25,83,9
"144-85-01",301,"sample","10-86-01","144",3,"85-01",3,1,"","7",204.25,85,1
"391-42-02",750,"sample","24-66-03","391",3,"42-02",1,1,"","7",204.25,42,2
"130-15-01",273,"sample","13-27-05","130",3,"15-01",3,1,"1st envelope","7",250.25,15,1
"369-92-01",712,"sample","67-114-04","369",6,"92-01",2,1,"","7",204.25,92,1
"178-87-04",364,"sample","12-106-02","178",4,"87-04",3,1,"","7",204.25,87,4
"86-56-03",187,"sample","35-69-01","86",2,"56-03",2,1,"","7",250.25,56,3
"36-57-01",36,"sample","35-69-01","36",2,"57-01",1,1,"","12",250.25,57,1
"307-89-01",598,"sample","7-34-11","307",5,"89-01",1,1,"1st envelope","7",204.25,89,1
"74-106-04",159,"sample","12-106-02","74",2,"106-04",1,1,"1st envelope","7",204.25,106,4
"85-41-02",185,"sample","25-55-01","85",2,"41-02",3,1,"1st envelope","7",204.25,41,2
"84-66-02",180,"sample","84-66-02","84",2,"66-02",1,1,"","24",250.25,66,2
"80-83-02",173,"sample","67-114-04","80",2,"83-02",1,1,"1st envelope","7",204.25,83,2
"16-2-12",960,"sample","13-27-05","209",2,"16-12",4,1,"","7",250.25,16,12
"231-67-03",462,"sample","25-55-01","231",4,"67-03",1,1,"1st envelope","7",204.25,67,3
"62-3-3",768,"sample","12-106-02","5",3,"62-03",4,1,"","7",204.25,62,3
"278-114-04",549,"sample","131-103-04","278",5,"114-04",2,1,"1st envelope","7",204.25,114,4
"26-2-13",949,"sample","41-26-05","198",2,"26-13",4,1,"","7",204.25,26,13
