"Sample","Lab.ID","Class","Individual","Bundle.No.","Period","Event.ID","Priority","Selected","Comments","Loci","Sex","site","cid"
"188-18-05",381,"sample","13-27-05","188",4,"18-05",1,1,"","7",250.25,18,5
"21-34-05",89,"sample","31-60-03","21",3,"34-05",3,1,"perhaps not bear?","11",204.25,34,5
"280-103-05",554,"sample","131-103-04","280",5,"103-05",3,1,"","7",204.25,103,5
"356-53-05",688,"sample","17-2-02","356",6,"53-05",2,1,"","7",204.25,53,5
"29-90-03",94,"sample","23-100-05","29",1,"90-03",2,1,"","12",204.25,90,3
"269-23-02",531,"sample","17-2-02","269",5,"23-02",2,1,"","7",204.25,23,2
"74-106-04",159,"sample","12-106-02","74",2,"106-04",1,1,"1st envelope","7",204.25,106,4
"195-11-02",394,"sample","12-106-02","195",4,"11-02",1,1,"1st envelope","7",204.25,11,2
"339-105-06",655,"sample","67-114-04","339",4,"105-06",2,1,"1st envelope","7",204.25,105,6
"92-91-01",197,"sample","25-55-01","92",2,"91-01",1,1,"uf left, 1st envelope","7",204.25,91,1
"50-3-4",878,"sample","19-50-05","123",3,"50-04",4,1,"","7",250.25,50,4
"176-29-03",1053,"sample","45-29-01","176",4,"29-03",3,2,"","7",204.25,29,3
"291-92-01",569,"sample","131-103-04","291",5,"92-01",1,1,"","7",204.25,92,1
"87-1-5",780,"sample","135-108-03","18",1,"87-05",4,1,"","7",250.25,87,5
"76-96-07",164,"sample","0056","76",2,"96-07",3,1,"","8",250.25,96,7
"218-93-02",434,"sample","67-114-04","218",4,"93-02",2,1,"","7",204.25,93,2
"232-91-02",464,"sample","25-55-01","232",4,"91-02",1,1,"91-1 is in this bundle","7",204.25,91,2
"60-6-1",774,"sample","2213","12",6,"60-01",4,1,"","7",250.25,60,1
"144-85-05",300,"sample","10-86-01","144",3,"85-05",1,1,"2nd envelope","7",204.25,85,5
"120-4-5",809,"sample","0056","49",4,"120-05",4,1,"","7",250.25,120,5
"352-67-04",1088,"sample","7-34-11","352",6,"67-04",3,2,"","7",204.25,67,4
"292-107-01",571,"sample","10-86-01","292",5,"107-01",1,1,"","7",204.25,107,1
"26-1-13",792,"sample","2213","31",1,"26-13",4,1,"1st envelope","7",250.25,26,13
"264-26-17",523,"sample","2213","264",1,"26-17",3,1,"2nd envelope","7",250.25,26,17
"124-10-03",263,"sample","13-27-05","124",3,"10-03",3,1,"coarse underfur","7",250.25,10,3
"217-81-01",1064,"sample","0056","217",4,"81-01",2,2,"not sure if remaining hairs are from a bear","7",250.25,81,1
"125-10-03",265,"sample","3002","125",2,"10-03",3,1,"","7",250.25,10,3
"219-105-07",438,"sample","171-105-09","219",4,"105-07",3,1,"1st envelope","7",204.25,105,7
"340-5-01",657,"sample","12-106-02","340",6,"5-01",1,1,"","7",204.25,5,1
"279-104-03",551,"sample","0056","279",5,"104-03",2,1,"","7",250.25,104,3
"93-55-02",199,"sample","25-55-01","93",2,"55-02",1,1,"1st envelope","7",204.25,55,2
"267-75-01",527,"sample","12-106-02","267",5,"75-01",3,1,"","7",204.25,75,1
"284-77-01",560,"sample","25-55-01","284",2,"77-01",3,1,"1st envelope","7",204.25,77,1
"90-88-01",194,"sample","25-55-01","90",2,"88-01",1,1,"1st envelope","7",204.25,88,1
"55-5-5",1009,"sample","7-34-11","259",5,"55-05",4,2,"1st envelope","7",204.25,55,5
"60-4-9",786,"sample","2213","25",4,"60-09",4,1,"1st envelope","7",250.25,60,9
"319-46-01",616,"sample","2213","319",6,"46-01",1,1,"","7",250.25,46,1
"60-5-1",864,"sample","2213","108",5,"60-01",4,1,"","7",250.25,60,1
"57-46-11",130,"sample","2213","57",4,"46-11",3,1,"","7",250.25,46,11
"43-15-10",115,"sample","13-27-05","43",2,"15-10",3,1,"","7",250.25,15,10
"168-15-03",342,"sample","38-34-09","168",4,"15-03",2,1,"","7",204.25,15,3
"109-41-02",232,"sample","7-34-11","109",5,"41-02",2,1,"1st envelope","7",204.25,41,2
"53-74-01",53,"sample","10-86-01","53",2,"74-01",1,1,"","12",204.25,74,1
"9-16-04",74,"sample","13-27-05","9",4,"16-04",2,1,"","12",250.25,16,4
"175-46-06",358,"sample","31-60-03","175",4,"46-06",3,1,"1st envelope","7",204.25,46,6
"92-3-1",850,"sample","67-114-04","92",3,"92-01",4,1,"1st envelope","7",204.25,92,1
"374-114-03",722,"sample","67-114-04","374",6,"114-03",2,1,"","7",204.25,114,3
"97-69-03",209,"sample","97-69-05","97",3,"69-03",3,1,"uf left, 1st envelope","7",204.25,69,3
"86-4-3",764,"sample","13-27-05","1",4,"86-03",4,1,"1st envelope","7",250.25,86,3
"28-89-01",28,"sample","25-55-01","28",1,"89-01",1,1,"1st envelope","12",204.25,89,1
"376-121-02",726,"sample","276-121-04","376",6,"121-02",2,1,"","7",204.25,121,2
"46-87-01",118,"sample","12-106-02","46",2,"87-01",2,1,"coarse underfur","7",204.25,87,1
"2-5-5",948,"sample","17-2-02","197",5,"5-Feb",4,1,"","7",204.25,5,NA
"255-16-04",505,"sample","12-106-02","255",5,"16-04",2,2,"1st envelope","7",204.25,16,4
"296-22-05",579,"sample","31-60-03","296",3,"22-05",3,1,"maybe not bear?","7",204.25,22,5
"26-1-12",932,"sample","2213","180",1,"26-12",4,1,"1st envelope","7",250.25,26,12
"174-33-06",355,"sample","2213","174",4,"33-06",2,1,"coarse underfur","7",250.25,33,6
"228-21-01",456,"sample","31-60-03","228",4,"21-01",2,1,"1st envelope","7",204.25,21,1
"29-4-5",946,"sample","175-20-02","195",4,"29-05",4,1,"1st envelope","24",204.25,29,5
"27-4-7",784,"sample","13-27-05","23",4,"27-07",4,1,"","7",250.25,27,7
"252-4-02",499,"sample","12-106-02","252",5,"4-02",1,1,"","7",204.25,4,2
"74-3-1",909,"sample","10-86-01","156",3,"74-01",4,1,"","7",204.25,74,1
"273-8-01",539,"sample","17-2-02","273",5,"8-01",1,1,"","7",204.25,8,1
"75-4-6",806,"sample","12-106-02","46",4,"75-06",4,1,"1st envelope","7",204.25,75,6
"11-3-8",1026,"sample","12-106-02","277",3,"8-Nov",4,2,"","7",204.25,8,NA
"16-3-1",871,"sample","13-27-05","116",3,"16-01",4,1,"","7",250.25,16,1
"89-5-5",964,"sample","7-34-11","213",5,"89-05",4,1,"1st envelope","7",204.25,89,5
"240-60-03",479,"sample","2213","240",5,"60-03",1,1,"","7",250.25,60,3
"119-4-1",790,"sample","72-119-02","29",4,"119-01",4,1,"","7",204.25,119,1
"352-67-05",679,"sample","7-34-11","352",6,"67-05",2,1,"2nd envelope","7",204.25,67,5
"100-3-6",912,"sample","7-34-11","159",3,"100-06",4,1,"","7",204.25,100,6
"358-33-06",693,"sample","67-114-04","358",3,"33-06",3,1,"2nd envelope","7",204.25,33,6
"10-2-7",955,"sample","13-27-05","204",2,"7-Dec",4,1,"","7",250.25,7,NA
"38-34-01",110,"sample","31-60-03","38",2,"34-01",3,1,"not sure about the roots on these hairs","7",204.25,34,1
"74-3-4",835,"sample","10-86-01","76",3,"74-04",4,1,"","7",204.25,74,4
"103-36-05",222,"sample","38-34-09","103",3,"36-05",3,1,"","24",204.25,36,5
"201-121-02",405,"sample","30-120-03","201",4,"121-02",2,1,"2nd envelope","7",250.25,121,2
"101-6-5",833,"sample","67-114-04","73",6,"101-05",4,1,"1st envelope","7",204.25,101,5
"284-108-04",559,"sample","6-87-08","284",5,"108-04",1,1,"","7",250.25,108,4
"310-55-04",603,"sample","7-34-11","310",5,"55-04",1,1,"1st envelope","7",204.25,55,4
"60-16-09",135,"sample","13-27-05","60",2,"16-09",2,1,"1st envelope","7",250.25,16,9
"400-114-07",763,"sample","30-120-03","400",6,"114-07",2,1,"1st envelope","7",250.25,114,7
"135-108-03",283,"sample","135-108-03","135",3,"108-03",1,1,"weird shorty hairs","24",250.25,108,3
"86-1-4",865,"sample","10-86-01","109",1,"86-04",4,1,"1st envelope","7",204.25,86,4
"166-45-03",338,"sample","35-69-01","166",4,"45-03",3,1,"","7",250.25,45,3
"281-113-04",555,"sample","0056","281",5,"113-04",1,1,"1st envelope","7",250.25,113,4
"163-59-02",331,"sample","2213","163",4,"59-02",1,1,"","7",250.25,59,2
"115-74-05",241,"sample","10-86-01","115",3,"74-05",2,1,"","7",204.25,74,5
"60-16-06",136,"sample","13-27-05","60",2,"16-06",3,1,"","7",250.25,16,6
"208-105-05",1109,"sample","171-105-09","208",4,"105-05",3,3,"","7",204.25,105,5
"137-109-02",288,"sample","72-119-02","137",3,"109-02",2,NA,"","24",204.25,109,2
"26-33-04",93,"sample","7-34-11","26",5,"33-04",2,1,"","9",204.25,33,4
"220-62-06",440,"sample","10-86-01","220",4,"62-06",2,1,"coarse underfur","7",204.25,62,6
"210-106-02",422,"sample","12-106-02","210",5,"106-02",3,1,"1st envelope","7",204.25,106,2
"85-41-02",185,"sample","25-55-01","85",2,"41-02",3,1,"1st envelope","7",204.25,41,2
"386-72-08",743,"sample","78-72-05","386",2,"72-08",3,1,"1st envelope","7",204.25,72,8
"50-4-4",834,"sample","10-86-01","75",4,"50-04",4,1,"1st envelope","7",204.25,50,4
"73-62-10",158,"sample","12-106-02","73",4,"62-10",3,1,"","7",204.25,62,10
"18-3-4",1010,"sample","13-27-05","260",3,"18-04",4,2,"","7",250.25,18,4
"17-2-01",84,"sample","17-2-02","17",1,"2-01",2,1,"1st envelope","12",204.25,2,1
"11-3-5",845,"sample","13-27-05","87",3,"11-05",4,1,"","7",250.25,11,5
"41-6-4",979,"sample","361-41-05","229",6,"41-04",4,1,"1st envelope","7",250.25,41,4
"58-18-03",131,"sample","56-28-01","58",2,"18-03",2,1,"","7",204.25,18,3
"144-85-01",301,"sample","10-86-01","144",3,"85-01",3,1,"","7",204.25,85,1
"7-34-11",71,"sample","7-34-11","7",4,"34-11",3,1,"1st envelope","24",204.25,34,11
"108-64-02",231,"sample","47-64-04","108",3,"64-02",3,1,"1st envelope","7",250.25,64,2
"270-22-02",1113,"sample","17-2-02","270",5,"22-02",2,3,"","7",204.25,22,2
