"Sample","Lab.ID","Class","Individual","Bundle.No.","Period","Event.ID","Priority","Selected","Comments","Loci","Sex","site","cid"
"10-2-13",884,"sample","13-27-05","129",2,"13-Oct",4,1,"","7",250.25,13,NA
"102-26-02",219,"sample","2213","102",3,"26-02",2,1,"","7",250.25,26,2
"16-96-03",83,"sample","12-106-02","16",2,"96-03",3,1,"","11",204.25,96,3
"270-22-06",532,"sample","25-55-01","270",5,"22-06",1,1,"","7",204.25,22,6
"236-78-01",472,"sample","25-55-01","236",4,"78-01",3,1,"","7",204.25,78,1
"23-6-3",945,"sample","121-22-04","194",6,"23-03",4,1,"","7",250.25,23,3
"325-24-02",629,"sample","2213","325",6,"24-02",1,1,"","7",250.25,24,2
"46-4-10",1019,"sample","2213","270",4,"46-10",4,2,"","7",250.25,46,10
"261-28-02",516,"sample","13-27-05","261",5,"28-02",2,1,"","7",250.25,28,2
"311-56-03",604,"sample","25-55-01","311",5,"56-03",2,2,"","7",204.25,56,3
"216-118-02",431,"sample","31-60-03","216",4,"118-02",1,1,"1st envelope","7",204.25,118,2
"332-62-02",639,"sample","12-106-02","332",6,"62-02",1,1,"","7",204.25,62,2
"56-28-01",56,"sample","56-28-01","56",2,"28-01",1,1,"","24",204.25,28,1
"92-3-1",850,"sample","67-114-04","92",3,"92-01",4,1,"1st envelope","7",204.25,92,1
"15-2-1",937,"sample","13-27-05","185",2,"15-01",4,1,"coarse underfur","7",250.25,15,1
"127-17-01",1048,"sample","13-27-05","127",3,"17-01",2,2,"1st envelope","7",250.25,17,1
"239-41-05",477,"sample","25-55-01","239",5,"41-05",2,1,"","7",204.25,41,5
"21-6-3",907,"sample","7-34-11","154",6,"21-03",4,1,"","7",204.25,21,3
"336-50-02",1085,"sample","13-27-05","336",6,"50-02",3,2,"1st envelope","7",250.25,50,2
"276-121-04",545,"sample","276-121-04","276",5,"121-04",1,1,"","24",204.25,121,4
"234-89-04",466,"sample","25-55-01","234",4,"89-04",1,1,"1st envelope","7",204.25,89,4
"10-86-02",75,"sample","10-86-01","10",1,"86-02",3,1,"1st envelope","11",204.25,86,2
"280-103-05",554,"sample","131-103-04","280",5,"103-05",3,1,"","7",204.25,103,5
"281-113-04",555,"sample","0056","281",5,"113-04",1,1,"1st envelope","7",250.25,113,4
"10-2-10",995,"sample","13-27-05","245",2,"10-Oct",4,2,"","7",250.25,10,NA
"93-4-3",1120,"sample","0056","280",4,"93-03",4,3,"2nd envelope","7",250.25,93,3
"50-4-4",834,"sample","10-86-01","75",4,"50-04",4,1,"1st envelope","7",204.25,50,4
"294-72-01",1076,"sample","3002","294",5,"72-01",2,2,"","7",250.25,72,1
"44-14-03",1036,"sample","3002","44",2,"14-03",3,2,"","7",250.25,14,3
"362-83-01",700,"sample","31-60-03","362",6,"83-01",1,1,"","7",204.25,83,1
"82-42-01",177,"sample","82-42-01","82",2,"42-01",1,1,"","24",204.25,42,1
"235-77-02",469,"sample","235-77-01","235",4,"77-02",2,1,"1st envelope","7",250.25,77,2
"317-71-04",613,"sample","2213","317",6,"71-04",3,1,"","7",250.25,71,4
"211-99-01",423,"sample","6-87-08","211",4,"99-01",1,1,"2nd envelope","7",250.25,99,1
"137-109-02",288,"sample","72-119-02","137",3,"109-02",2,NA,"","24",204.25,109,2
"291-39-03",570,"sample","13-27-05","291",6,"39-03",2,1,"","8",250.25,39,3
"294-72-03",575,"sample","3002","294",5,"72-03",1,1,"","7",250.25,72,3
"149-72-02",309,"sample","10-86-01","149",3,"72-02",2,1,"","7",204.25,72,2
"26-1-10",827,"sample","2213","67",1,"26-10",4,1,"","7",250.25,26,10
"15-5-2",1021,"sample","13-27-05","272",5,"15-02",4,2,"","7",250.25,15,2
"333-28-01",643,"sample","13-27-05","333",6,"28-01",3,1,"","7",250.25,28,1
"386-72-04",742,"sample","78-72-05","386",2,"72-04",1,1,"","7",204.25,72,4
"71-108-02",152,"sample","67-114-04","71",2,"108-02",3,1,"","7",204.25,108,2
"55-49-01",55,"sample","31-60-03","55",2,"49-01",1,1,"","12",204.25,49,1
"326-25-02",1081,"sample","2213","326",6,"25-02",3,2,"","7",250.25,25,2
"247-24-03",491,"sample","2213","247",5,"24-03",1,1,"","7",250.25,24,3
"1-69-01",1,"sample","35-69-01","1",1,"69-01",1,1,"","11",250.25,69,1
"263-49-02",520,"sample","13-27-05","263",5,"49-02",2,1,"maybe not bear?","7",250.25,49,2
"60-16-02",60,"sample","13-27-05","60",2,"16-02",1,1,"","12",250.25,16,2
"356-53-05",688,"sample","17-2-02","356",6,"53-05",2,1,"","7",204.25,53,5
"178-87-04",364,"sample","12-106-02","178",4,"87-04",3,1,"","7",204.25,87,4
"188-18-05",381,"sample","13-27-05","188",4,"18-05",1,1,"","7",250.25,18,5
"143-73-02",298,"sample","10-86-01","143",3,"73-02",2,1,"coarse underfur","7",204.25,73,2
"16-5-2",935,"sample","12-106-02","183",5,"16-02",4,1,"","7",204.25,16,2
"295-73-01",576,"sample","10-86-01","295",5,"73-01",1,1,"","7",204.25,73,1
"79-84-04",171,"sample","50-50-01","79",2,"84-04",2,1,"1st envelope","7",204.25,84,4
"270-22-05",533,"sample","25-55-01","270",5,"22-05",3,1,"","7",204.25,22,5
"381-92-07",735,"sample","0056","381",3,"92-07",3,1,"1st envelope","7",250.25,92,7
"328-14-03",1082,"sample","2213","328",6,"14-03",3,2,"","7",250.25,14,3
"8-92-04",72,"sample","0056","8",3,"92-04",2,1,"","24",250.25,92,4
"213-109-05",426,"sample","72-119-02","213",4,"109-05",1,1,"","7",204.25,109,5
"360-21-06",1089,"sample","7-34-11","360",6,"21-06",3,2,"1st envelope","7",204.25,21,6
"60-4-9",786,"sample","2213","25",4,"60-09",4,1,"1st envelope","7",250.25,60,9
"76-96-04",163,"sample","12-106-02","76",2,"96-04",1,1,"","7",204.25,96,4
"42-24-03",113,"sample","2213","42",2,"24-03",3,1,"2nd envelop","7",250.25,24,3
"237-55-03",474,"sample","25-55-01","237",4,"55-03",3,1,"1st envelope","7",204.25,55,3
"75-4-3",993,"sample","12-106-02","243",4,"75-03",4,2,"1st envelope","7",204.25,75,3
"396-113-02",758,"sample","0056","396",5,"113-02",2,1,"","7",250.25,113,2
"26-33-04",93,"sample","7-34-11","26",5,"33-04",2,1,"","9",204.25,33,4
"27-4-5",879,"sample","13-27-05","124",4,"27-05",4,1,"","7",250.25,27,5
