"Sample","Lab.ID","Class","Individual","Bundle.No.","Period","Event.ID","Priority","Selected","Comments","Loci","Sex","site","cid"
"279-104-04",550,"sample","0056","279",5,"104-04",1,1,"","7",250.25,104,4
"385-16-01",741,"sample","13-27-05","385",2,"16-01",2,1,"1st envelope","7",250.25,16,1
"229-66-03",459,"sample","25-55-01","229",4,"66-03",2,1,"","7",204.25,66,3
"55-3-5",969,"sample","24-66-03","218",3,"55-05",4,1,"","7",204.25,55,5
"36-3-8",776,"sample","2213","14",3,"36-08",4,1,"1st envelope","7",250.25,36,8
"119-27-04",249,"sample","13-27-05","119",3,"27-04",1,1,"coarse underfur, 1st envelope","7",250.25,27,4
"59-11-03",59,"sample","56-28-01","59",2,"11-03",1,1,"","11",204.25,11,3
"174-33-08",354,"sample","67-114-04","174",4,"33-08",1,1,"","7",204.25,33,8
"102-26-03",220,"sample","31-60-03","102",3,"26-03",3,1,"","7",204.25,26,3
"163-59-03",332,"sample","31-60-03","163",4,"59-03",2,1,"","7",204.25,59,3
"46-3-4",828,"sample","67-114-04","68",3,"46-04",4,1,"1st envelope","7",204.25,46,4
"76-96-04",163,"sample","12-106-02","76",2,"96-04",1,1,"","7",204.25,96,4
"89-4-5",867,"sample","7-34-11","111",4,"89-05",4,1,"","7",204.25,89,5
"140-92-05",292,"sample","0056","140",3,"92-05",1,1,"1st envelope","8",250.25,92,5
"263-49-03",519,"sample","13-27-05","263",5,"49-03",1,1,"1st envelope","7",250.25,49,3
"206-115-03",414,"sample","171-105-09","206",3,"115-03",1,1,"","7",204.25,115,3
"384-36-06",739,"sample","2213","384",2,"36-06",1,1,"","7",250.25,36,6
"171-35-01",348,"sample","3002","171",4,"35-01",2,1,"coarse underfur","7",250.25,35,1
"396-113-02",758,"sample","0056","396",5,"113-02",2,1,"","7",250.25,113,2
"338-75-01",1117,"sample","12-106-02","338",6,"75-01",2,3,"","7",204.25,75,1
"267-75-04",1071,"sample","12-106-02","267",5,"75-04",2,2,"","7",204.25,75,4
"251-5-03",498,"sample","12-106-02","251",5,"5-03",1,1,"1st envelope","7",204.25,5,3
"388-90-10",747,"sample","25-55-01","388",2,"90-10",3,1,"","7",204.25,90,10
"181-50-01",370,"sample","10-86-01","181",4,"50-01",2,2,"","7",204.25,50,1
"63-2-01",141,"sample","31-60-03","63",2,"2-01",2,1,"blonde hairs, 1st envelope","7",204.25,2,1
"250-34-05",497,"sample","31-60-03","250",5,"34-05",1,1,"","7",204.25,34,5
"21-5-7",890,"sample","17-2-02","135",5,"21-07",4,1,"","7",204.25,21,7
"135-108-04",284,"sample","135-108-03","135",3,"108-04",3,1,"1st envelope","8",250.25,108,4
"28-4-3",862,"sample","13-27-05","106",4,"28-03",4,1,"1st envelope","7",250.25,28,3
"24-66-01",1030,"sample","24-66-03","24",1,"66-01",2,2,"uf left, 1st envelope","7",204.25,66,1
"29-4-2",966,"sample","45-29-01","215",4,"29-02",4,1,"","7",204.25,29,2
"60-4-11",889,"sample","2213","134",4,"60-11",4,1,"","7",250.25,60,11
"35-2-7",893,"sample","38-34-09","138",2,"35-07",4,1,"1st envelope","7",204.25,35,7
"89-2-3",868,"sample","25-55-01","113",2,"89-03",4,1,"1st envelope","7",204.25,89,3
"302-41-06",590,"sample","25-55-01","302",5,"41-06",2,1,"envelope says 41-16","7",204.25,41,6
"243-45-03",485,"sample","35-69-01","243",5,"45-03",3,1,"","7",250.25,45,3
"83-21-01",1102,"sample","31-60-03","83",2,"21-01",2,3,"","7",204.25,21,1
"296-94-02",578,"sample","67-114-04","296",5,"94-02",1,1,"","7",204.25,94,2
"192-4-01",1057,"sample","12-106-02","192",4,"4-01",2,2,"","7",204.25,4,1
"301-14-01",589,"sample","2213","301",6,"14-01",2,1,"","7",250.25,14,1
"255-16-05",1068,"sample","12-106-02","255",5,"16-05",3,2,"","7",204.25,16,5
"308-78-01",599,"sample","25-55-01","308",5,"78-01",1,1,"","7",204.25,78,1
"196-23-04",397,"sample","17-2-02","196",4,"23-04",3,1,"","7",204.25,23,4
"218-93-01",433,"sample","0056","218",4,"93-01",1,1,"1st envelope","7",250.25,93,1
"79-84-03",172,"sample","50-50-01","79",2,"84-03",3,1,"","7",204.25,84,3
"28-89-03",1032,"sample","25-55-01","28",1,"89-03",2,2,"1st envelope","7",204.25,89,3
"275-105-03",544,"sample","171-105-09","275",5,"105-03",2,1,"","7",204.25,105,3
"219-92-01",437,"sample","67-114-04","219",4,"92-01",2,1,"1st envelope","7",204.25,92,1
"209-103-04",420,"sample","0056","209",4,"103-04",3,1,"1st envelope","7",250.25,103,4
"201-121-02",405,"sample","30-120-03","201",4,"121-02",2,1,"2nd envelope","7",250.25,121,2
"183-62-05",373,"sample","10-86-01","183",4,"62-05",2,NA,"","7",204.25,62,5
"29-90-03",94,"sample","23-100-05","29",1,"90-03",2,1,"","12",204.25,90,3
"252-4-03",501,"sample","12-106-02","252",5,"4-03",3,1,"","7",204.25,4,3
"36-114-04",107,"sample","0056","36",4,"114-04",2,1,"","8",250.25,114,4
"317-71-05",612,"sample","317-71-05","317",6,"71-05",1,1,"","24",204.25,71,5
"120-1-12",965,"sample","0056","214",1,"120-12",4,1,"1st envelope","7",250.25,120,12
"240-60-03",479,"sample","2213","240",5,"60-03",1,1,"","7",250.25,60,3
"117-50-03",245,"sample","19-50-05","117",3,"50-03",2,1,"","24",250.25,50,3
"241-71-04",480,"sample","2213","241",5,"71-04",1,1,"","7",250.25,71,4
"90-88-02",195,"sample","25-55-01","90",2,"88-02",3,1,"1st envelope","7",204.25,88,2
"81-95-02",176,"sample","31-60-03","81",2,"95-02",2,1,"maybe not bear? blondy red","7",204.25,95,2
"276-121-04",545,"sample","276-121-04","276",5,"121-04",1,1,"","24",204.25,121,4
"120-6-1",785,"sample","67-114-04","24",6,"120-01",4,1,"1st envelope","7",204.25,120,1
"97-69-05",208,"sample","97-69-05","97",3,"69-05",1,1,"","24",204.25,69,5
"120-4-2",926,"sample","120-4-2","174",4,"120-02",4,1,"1st envelope","24",204.25,120,2
"286-99-03",563,"sample","6-87-08","286",5,"99-03",2,1,"","7",250.25,99,3
"205-104-02",412,"sample","67-114-04","205",4,"104-02",2,1,"","7",204.25,104,2
"107-33-02",228,"sample","31-60-03","107",3,"33-02",2,1,"","7",204.25,33,2
"143-73-02",298,"sample","10-86-01","143",3,"73-02",2,1,"coarse underfur","7",204.25,73,2
"93-55-01",200,"sample","25-55-01","93",2,"55-01",2,1,"1st envelope","7",204.25,55,1
"387-83-05",744,"sample","12-106-02","387",2,"83-05",1,1,"1st envelope","7",204.25,83,5
"323-35-02",626,"sample","2213","323",6,"35-02",2,1,"","7",250.25,35,2
"26-67-01",26,"sample","25-55-01","26",1,"67-01",1,1,"1st envelope","12",204.25,67,1
"26-1-23",797,"sample","2213","36",1,"26-23",4,1,"","7",250.25,26,23
"298-83-02",582,"sample","67-114-04","298",5,"83-02",1,1,"","7",204.25,83,2
"78-72-02",169,"sample","10-86-01","78",2,"72-02",2,1,"blonde underfur","7",204.25,72,2
"318-59-03",615,"sample","12-106-02","318",6,"59-03",2,1,"","7",204.25,59,3
"13-27-03",80,"sample","13-27-05","13",1,"27-03",3,1,"1st envelope","12",250.25,27,3
"46-4-10",1019,"sample","2213","270",4,"46-10",4,2,"","7",250.25,46,10
"167-14-01",340,"sample","38-34-09","167",4,"14-01",3,1,"","7",204.25,14,1
"115-74-05",241,"sample","10-86-01","115",3,"74-05",2,1,"","7",204.25,74,5
"324-26-01",627,"sample","2213","324",6,"26-01",1,1,"","7",250.25,26,1
"132-104-03",278,"sample","0056","132",3,"104-03",2,1,"","8",250.25,104,3
"154-91-05",316,"sample","7-34-11","154",3,"91-05",1,1,"2nd envelope","7",204.25,91,5
"362-83-03",1118,"sample","19-50-05","362",6,"83-03",2,3,"","7",250.25,83,3
"231-67-03",462,"sample","25-55-01","231",4,"67-03",1,1,"1st envelope","7",204.25,67,3
"1-69-02",68,"sample","35-69-01","1",1,"69-02",3,1,"","11",250.25,69,2
"123-2-01",260,"sample","12-106-02","123",3,"2-01",3,1,"1st envelope","7",204.25,2,1
"73-72-06",157,"sample","2213","73",4,"72-06",2,1,"1st envelope, coarse blonde underfur","8",250.25,72,6
"230-53-01",460,"sample","24-66-03","230",4,"53-01",1,1,"1st envelope","7",204.25,53,1
"203-113-01",1108,"sample","0056","203",4,"113-01",2,3,"1st envelope","7",250.25,113,1
"223-73-03",448,"sample","10-86-01","223",4,"73-03",3,1,"","7",204.25,73,3
"272-2-01",537,"sample","12-106-02","272",5,"2-01",2,1,"","7",204.25,2,1
"87-4-5",875,"sample","72-119-02","120",4,"87-05",4,1,"","7",204.25,87,5
"232-11-01",1065,"sample","13-27-05","232",5,"11-01",2,2,"","7",250.25,11,1
"10-86-01",10,"sample","10-86-01","10",1,"86-01",1,1,"","24",204.25,86,1
"103-5-6",913,"sample","131-103-04","160",5,"103-06",4,1,"","7",204.25,103,6
"292-101-07",573,"sample","67-114-04","292",6,"101-07",3,1,"","7",204.25,101,7
"11-3-1",787,"sample","13-27-05","26",3,"11-01",4,1,"","7",250.25,11,1
"10-3-2",1008,"sample","13-27-05","258",3,"10-02",4,2,"1st envelope","7",250.25,10,2
"46-87-01",118,"sample","12-106-02","46",2,"87-01",2,1,"coarse underfur","7",204.25,87,1
"99-2-1",939,"sample","12-106-02","187",2,"99-01",4,1,"","7",204.25,99,1
"195-11-02",394,"sample","12-106-02","195",4,"11-02",1,1,"1st envelope","7",204.25,11,2
"11-75-01",76,"sample","10-86-01","11",1,"75-01",3,1,"","11",204.25,75,1
"57-27-01",57,"sample","12-106-02","57",2,"27-01",1,1,"","12",204.25,27,1
"32-59-01",32,"sample","12-106-02","32",2,"59-01",1,1,"1st envelope","12",204.25,59,1
"374-114-05",721,"sample","0056","374",6,"114-05",1,1,"","7",250.25,114,5
"367-61-03",708,"sample","19-50-05","367",6,"61-03",2,1,"","7",250.25,61,3
"121-6-7",823,"sample","276-121-04","63",6,"121-07",4,1,"","7",204.25,121,7
"71-108-01",151,"sample","67-114-04","71",2,"108-01",1,1,"1st envelope","7",204.25,108,1
"337-86-04",652,"sample","12-106-02","337",6,"86-04",3,1,"","7",204.25,86,4
"87-77-05",188,"sample","25-55-01","87",2,"77-05",1,1,"","7",204.25,77,5
"33-48-01",104,"sample","31-60-03","33",2,"48-01",2,1,"blonde underfur","7",204.25,48,1
"285-109-02",561,"sample","72-119-02","285",5,"109-02",1,1,"","7",204.25,109,2
"92-83-09",198,"sample","67-114-04","92",3,"83-09",3,1,"2nd envelope","7",204.25,83,9
"258-29-01",510,"sample","45-29-01","258",5,"29-01",1,1,"","7",204.25,29,1
