"Sample","Lab.ID","Class","Individual","Bundle.No.","Period","Event.ID","Priority","Selected","Comments","Loci","Sex","site","cid"
"22-3-2",967,"sample","31-60-03","216",3,"22-02",4,1,"","7",204.25,22,2
"75-4-11",934,"sample","10-86-01","182",4,"75-11",4,1,"","7",204.25,75,11
"102-6-2",991,"sample","0056","241",6,"102-02",4,2,"","7",250.25,102,2
"76-96-07",164,"sample","0056","76",2,"96-07",3,1,"","8",250.25,96,7
"393-33-05",1095,"sample","2213","393",4,"33-05",1,2,"","7",250.25,33,5
"89-4-5",867,"sample","7-34-11","111",4,"89-05",4,1,"","7",204.25,89,5
"18-3-4",1010,"sample","13-27-05","260",3,"18-04",4,2,"","7",250.25,18,4
"6-87-07",1100,"sample","12-106-02","6",1,"87-07",3,3,"1st envelope","7",204.25,87,7
"12-106-02",78,"sample","12-106-02","12",2,"106-02",3,1,"","24",204.25,106,2
"36-3-2",988,"sample","2213","238",3,"36-02",4,2,"1st envelope","7",250.25,36,2
"269-23-02",531,"sample","17-2-02","269",5,"23-02",2,1,"","7",204.25,23,2
"220-62-06",440,"sample","10-86-01","220",4,"62-06",2,1,"coarse underfur","7",204.25,62,6
"274-10-02",542,"sample","12-106-02","274",5,"10-02",2,1,"","7",204.25,10,2
"375-104-02",1091,"sample","0056","375",4,"104-02",2,2,"","7",250.25,104,2
"14-16-06",81,"sample","12-106-02","14",1,"16-06",3,1,"2nd envelope","10",204.25,16,6
"291-92-01",569,"sample","131-103-04","291",5,"92-01",1,1,"","7",204.25,92,1
"34-46-03",34,"sample","67-114-04","34",2,"46-03",1,1,"","12",204.25,46,3
"122-15-09",256,"sample","13-27-05","122",2,"15-09",2,1,"1st envelope","7",250.25,15,9
"120-4-1",942,"sample","120-4-2","190",4,"120-01",4,1,"","7",204.25,120,1
"90-4-1",1002,"sample","25-55-01","252",4,"90-01",4,2,"1st envelope","7",204.25,90,1
"60-4-1",943,"sample","2213","191",4,"60-01",4,1,"","7",250.25,60,1
"228-21-01",456,"sample","31-60-03","228",4,"21-01",2,1,"1st envelope","7",204.25,21,1
"79-84-04",171,"sample","50-50-01","79",2,"84-04",2,1,"1st envelope","7",204.25,84,4
"348-71-09",672,"sample","2213","348",4,"71-09",3,1,"","7",250.25,71,9
"59-4-1",915,"sample","31-60-03","162",4,"59-01",4,1,"1st envelope","7",204.25,59,1
"153-90-02",315,"sample","25-55-01","153",3,"90-02",2,1,"uf left mostly","7",204.25,90,2
"42-6-3",916,"sample","7-34-11","163",6,"42-03",4,1,"1st envelope","7",204.25,42,3
"247-24-02",493,"sample","2213","247",5,"24-02",3,1,"","7",250.25,24,2
"32-59-01",32,"sample","12-106-02","32",2,"59-01",1,1,"1st envelope","12",204.25,59,1
"198-1-01",1059,"sample","12-106-02","198",4,"1-01",3,2,"","7",204.25,1,1
"26-1-10",827,"sample","2213","67",1,"26-10",4,1,"","7",250.25,26,10
"119-4-1",790,"sample","72-119-02","29",4,"119-01",4,1,"","7",204.25,119,1
"305-42-05",594,"sample","7-34-11","305",5,"42-05",1,1,"","7",204.25,42,5
"32-4-1",841,"sample","121-22-04","82",4,"32-01",4,1,"1st envelope","7",250.25,32,1
"35-2-7",893,"sample","38-34-09","138",2,"35-07",4,1,"1st envelope","7",204.25,35,7
"271-36-12",535,"sample","2213","271",2,"36-12",3,1,"","7",250.25,36,12
"121-6-4",1023,"sample","276-121-04","274",6,"121-04",4,2,"","7",204.25,121,4
"156-66-01",321,"sample","24-66-03","156",3,"66-01",1,1,"","11",204.25,66,1
"34-3-1",971,"sample","67-114-04","220",3,"34-01",4,1,"coarse underfur","7",204.25,34,1
"332-62-03",641,"sample","12-106-02","332",6,"62-03",3,1,"","7",204.25,62,3
"50-3-2",840,"sample","19-50-05","81",3,"50-02",4,1,"1st envelope","7",250.25,50,2
"103-5-1",904,"sample","0056","150",5,"103-01",4,1,"","7",250.25,103,1
"154-91-01",317,"sample","7-34-11","154",3,"91-01",2,1,"1st envelope","7",204.25,91,1
"208-105-05",1109,"sample","171-105-09","208",4,"105-05",3,3,"","7",204.25,105,5
"268-62-05",529,"sample","12-106-02","268",5,"62-05",3,1,"1st envelope","7",204.25,62,5
"248-36-01",495,"sample","12-106-02","248",5,"36-01",2,1,"1st envelope","7",204.25,36,1
"236-78-02",470,"sample","25-55-01","236",4,"78-02",1,1,"","7",204.25,78,2
"222-85-03",446,"sample","10-86-01","222",4,"85-03",2,1,"","7",204.25,85,3
"37-16-05",109,"sample","13-27-05","37",2,"16-05",3,1,"","7",250.25,16,5
"22-5-3",854,"sample","31-60-03","96",5,"22-03",4,1,"","7",204.25,22,3
"38-34-08",38,"sample","2213","38",2,"34-08",1,1,"no roots on remaining  hairs ","12",250.25,34,8
"255-16-04",505,"sample","12-106-02","255",5,"16-04",2,2,"1st envelope","7",204.25,16,4
"360-21-04",696,"sample","12-106-02","360",6,"21-04",1,1,"","7",204.25,21,4
"261-28-02",516,"sample","13-27-05","261",5,"28-02",2,1,"","7",250.25,28,2
"77-85-01",165,"sample","10-86-01","77",2,"85-01",1,1,"","7",204.25,85,1
"362-83-02",1090,"sample","10-86-01","362",6,"83-02",3,2,"","7",204.25,83,2
"259-20-02",511,"sample","49-20-03","259",5,"20-02",1,1,"","7",250.25,20,2
"319-46-08",617,"sample","2213","319",6,"46-08",3,1,"","7",250.25,46,8
"175-46-06",358,"sample","31-60-03","175",4,"46-06",3,1,"1st envelope","7",204.25,46,6
"242-46-04",483,"sample","38-34-09","242",5,"46-04",2,1,"","7",204.25,46,4
"394-10-01",755,"sample","13-27-05","394",4,"10-01",3,1,"","7",250.25,10,1
"350-10-03",677,"sample","13-27-05","350",6,"10-03",3,1,"","7",250.25,10,3
"105-35-03",1043,"sample","2213","105",3,"35-03",2,2,"coarse underfur","7",250.25,35,3
"383-33-09",1092,"sample","31-60-03","383",3,"33-09",3,2,"1st envelope","7",204.25,33,9
"71-5-3",775,"sample","2213","13",5,"71-03",4,1,"","7",250.25,71,3
"106-4-4",902,"sample","67-114-04","148",4,"106-04",4,1,"","7",204.25,106,4
"74-3-4",835,"sample","10-86-01","76",3,"74-04",4,1,"","7",204.25,74,4
"78-72-05",168,"sample","78-72-05","78",2,"72-05",1,1,"1st envelope","24",204.25,72,5
"144-85-01",301,"sample","10-86-01","144",3,"85-01",3,1,"","7",204.25,85,1
"120-5-2",941,"sample","0056","189",5,"120-02",4,1,"coarse underfur","7",250.25,120,2
"114-4-2",959,"sample","0056","208",4,"114-02",4,1,"1st envelope","7",250.25,114,2
"352-67-04",1088,"sample","7-34-11","352",6,"67-04",3,2,"","7",204.25,67,4
"10-2-10",995,"sample","13-27-05","245",2,"10-Oct",4,2,"","7",250.25,10,NA
"356-53-01",689,"sample","17-2-02","356",6,"53-01",3,1,"","7",204.25,53,1
"11-3-1",787,"sample","13-27-05","26",3,"11-01",4,1,"","7",250.25,11,1
"77-106-05",167,"sample","67-114-04","77",5,"106-05",3,1,"1st envelope","7",204.25,106,5
"88-2-3",908,"sample","25-55-01","155",2,"88-03",4,1,"1st envelope","7",204.25,88,3
"67-114-04",67,"sample","67-114-04","67",2,"114-04",1,1,"","24",204.25,114,4
"25-55-01",25,"sample","25-55-01","25",1,"55-01",1,1,"1st envelope","24",204.25,55,1
"382-88-07",737,"sample","25-55-01","382",1,"88-07",3,1,"","7",204.25,88,7
"361-41-06",697,"sample","17-2-02","361",6,"41-06",1,1,"","7",204.25,41,6
"26-2-6",972,"sample","31-60-03","222",2,"26-06",4,1,"2nd envelope","7",204.25,26,6
"121-5-6",999,"sample","30-120-03","249",5,"121-06",4,2,"","7",250.25,121,6
"190-28-02",387,"sample","13-27-05","190",4,"28-02",3,1,"","7",250.25,28,2
"35-69-01",35,"sample","35-69-01","35",2,"69-01",1,1,"","24",250.25,69,1
"54-62-06",1039,"sample","50-50-01","54",2,"62-06",2,2,"","7",204.25,62,6
"11-2-1",866,"sample","13-27-05","110",2,"1-Nov",4,1,"","7",250.25,1,NA
"257-39-02",508,"sample","13-27-05","257",5,"39-02",2,3,"","7",250.25,39,2
"30-120-03",96,"sample","30-120-03","30",6,"120-03",3,1,"uf left","24",250.25,120,3
"101-6-5",833,"sample","67-114-04","73",6,"101-05",4,1,"1st envelope","7",204.25,101,5
"278-114-03",1073,"sample","131-103-04","278",5,"114-03",3,2,"1st envelope","7",204.25,114,3
"338-75-05",653,"sample","12-106-02","338",6,"75-05",1,1,"","7",204.25,75,5
"201-121-01",404,"sample","171-105-09","201",4,"121-01",1,1,"1st envelope","7",204.25,121,1
"123-2-01",260,"sample","12-106-02","123",3,"2-01",3,1,"1st envelope","7",204.25,2,1
