"Sample","Lab.ID","Class","Individual","Bundle.No.","Period","Event.ID","Priority","Selected","Comments","Loci","Sex","site","cid"
"100-1-9",924,"sample","23-100-05","172",1,"100-09",4,1,"2nd envelope","7",204.25,100,9
"264-26-17",523,"sample","2213","264",1,"26-17",3,1,"2nd envelope","7",250.25,26,17
"24-66-01",1030,"sample","24-66-03","24",1,"66-01",2,2,"uf left, 1st envelope","7",204.25,66,1
"6-87-07",1100,"sample","12-106-02","6",1,"87-07",3,3,"1st envelope","7",204.25,87,7
"26-1-3",799,"sample","3002","39",1,"26-03",4,1,"1st envelope","7",250.25,26,3
"120-1-11",961,"sample","0056","210",1,"120-11",4,1,"1st envelope","7",250.25,120,11
"120-1-6",1004,"sample","0056","254",1,"120-06",4,2,"1st envelope","7",250.25,120,6
"90-1-2",856,"sample","23-100-05","100",1,"90-02",4,1,"","7",204.25,90,2
"26-1-25",1025,"sample","3002","276",1,"26-25",4,2,"","7",250.25,26,25
"22-100-07",90,"sample","23-100-05","22",1,"100-07",2,1,"","11",204.25,100,7
"3-14-02",69,"sample","2213","3",1,"14-02",2,1,"","10",250.25,14,2
"340-87-06",659,"sample","12-106-02","340",1,"87-06",3,1,"1st envelope","7",204.25,87,6
"87-1-5",780,"sample","135-108-03","18",1,"87-05",4,1,"","7",250.25,87,5
"14-1-9",804,"sample","2213","44",1,"14-09",4,1,"","7",250.25,14,9
"10-86-02",75,"sample","10-86-01","10",1,"86-02",3,1,"1st envelope","11",204.25,86,2
"26-67-01",26,"sample","25-55-01","26",1,"67-01",1,1,"1st envelope","12",204.25,67,1
"28-89-01",28,"sample","25-55-01","28",1,"89-01",1,1,"1st envelope","12",204.25,89,1
"26-1-23",797,"sample","2213","36",1,"26-23",4,1,"","7",250.25,26,23
"6-87-08",6,"sample","6-87-08","6",1,"87-08",2,NA,"1st envelope in group","7",250.25,87,8
"10-86-01",10,"sample","10-86-01","10",1,"86-01",1,1,"","24",204.25,86,1
"351-26-11",1087,"sample","2213","351",1,"26-11",2,2,"1st envelope","7",250.25,26,11
"13-27-05",13,"sample","13-27-05","13",1,"27-05",1,1,"","24",250.25,27,5
"13-27-02",79,"sample","13-27-05","13",1,"27-02",2,1,"1st envelope","12",250.25,27,2
"1-69-02",68,"sample","35-69-01","1",1,"69-02",3,1,"","11",250.25,69,2
"26-1-9",892,"sample","3002","137",1,"26-09",4,1,"","7",250.25,26,9
"86-1-4",865,"sample","10-86-01","109",1,"86-04",4,1,"1st envelope","7",204.25,86,4
"24-66-03",24,"sample","24-66-03","24",1,"66-03",1,1,"2nd envelope","24",204.25,66,3
"17-2-01",84,"sample","17-2-02","17",1,"2-01",2,1,"1st envelope","12",204.25,2,1
"185-26-04",376,"sample","2213","185",1,"26-04",2,1,"1st envelope","12",250.25,26,4
"29-90-06",29,"sample","23-100-05","29",1,"90-06",1,1,"1st envelope","12",204.25,90,6
"26-1-13",792,"sample","2213","31",1,"26-13",4,1,"1st envelope","7",250.25,26,13
"11-75-01",76,"sample","10-86-01","11",1,"75-01",3,1,"","11",204.25,75,1
"380-120-07",731,"sample","0056","380",1,"120-07",2,1,"","7",250.25,120,7
"18-8-03",18,"sample","17-2-02","18",1,"8-03",1,1,"2nd envelope","11",204.25,8,3
"26-1-20",992,"sample","3002","242",1,"26-20",4,2,"3rd envelope","7",250.25,26,20
"12-62-01",77,"sample","10-86-01","12",1,"62-01",2,1,"","12",204.25,62,1
"142-14-07",297,"sample","3002","142",1,"14-07",2,1,"","7",250.25,14,7
"15-22-02",82,"sample","25-55-01","15",1,"22-02",3,1,"","11",204.25,22,2
"120-1-1",885,"sample","0056","130",1,"120-01",4,1,"1st envelope","7",250.25,120,1
"90-1-4",900,"sample","23-100-05","146",1,"90-04",4,1,"","7",204.25,90,4
"120-1-12",965,"sample","0056","214",1,"120-12",4,1,"1st envelope","7",250.25,120,12
"380-120-03",732,"sample","0056","380",1,"120-03",3,1,"","7",250.25,120,3
"26-1-26",793,"sample","2213","32",1,"26-26",4,1,"1st envelope","7",250.25,26,26
"20-120-10",87,"sample","0056","20",1,"120-10",3,1,"","12",250.25,120,10
"100-1-4",767,"sample","23-100-05","4",1,"100-04",4,1,"1st envelope","7",204.25,100,4
"1-69-01",1,"sample","35-69-01","1",1,"69-01",1,1,"","11",250.25,69,1
"26-1-12",932,"sample","2213","180",1,"26-12",4,1,"1st envelope","7",250.25,26,12
"17-2-03",85,"sample","12-106-02","17",1,"2-03",3,1,"1st envelope","12",204.25,2,3
"11-75-04",11,"sample","10-86-01","11",1,"75-04",1,1,"","12",204.25,75,4
"17-2-02",17,"sample","17-2-02","17",1,"2-02",1,1,"1st envelope","24",204.25,2,2
"25-55-01",25,"sample","25-55-01","25",1,"55-01",1,1,"1st envelope","24",204.25,55,1
"100-1-11",917,"sample","23-100-05","164",1,"100-11",4,1,"","7",204.25,100,11
"29-90-05",95,"sample","25-55-01","29",1,"90-05",3,NA,"","11",204.25,90,5
"3-14-10",3,"sample","2213","3",1,"14-10",1,1,"","24",250.25,14,10
"14-1-5",927,"sample","2213","175",1,"14-05",4,1,"","7",250.25,14,5
"382-88-07",737,"sample","25-55-01","382",1,"88-07",3,1,"","7",204.25,88,7
"23-100-05",23,"sample","23-100-05","23",1,"100-05",1,1,"1st envelope","24",204.25,100,5
"5-26-15",5,"sample","2213","5",1,"26-15",1,1,"","12",250.25,26,15
"14-16-06",81,"sample","12-106-02","14",1,"16-06",3,1,"2nd envelope","10",204.25,16,6
"100-1-8",820,"sample","23-100-05","60",1,"100-08",4,1,"","7",204.25,100,8
"29-90-03",94,"sample","23-100-05","29",1,"90-03",2,1,"","12",204.25,90,3
"14-16-07",14,"sample","12-106-02","14",1,"16-07",2,NA,"3rd envelope","7",204.25,16,7
"20-120-09",20,"sample","0056","20",1,"120-09",2,3,"1st envelope","15",250.25,120,9
"87-1-2",1024,"sample","135-108-03","275",1,"87-02",4,2,"coarse underfur","7",250.25,87,2
"27-1-1",863,"sample","13-27-05","107",1,"27-01",4,1,"1st envelope","7",250.25,27,1
"28-89-03",1032,"sample","25-55-01","28",1,"89-03",2,2,"1st envelope","7",204.25,89,3
"12-62-04",12,"sample","10-86-01","12",1,"62-04",1,1,"","12",204.25,62,4
"87-1-10",954,"sample","12-106-02","203",1,"86-10",4,1,"1st envelope","7",204.25,86,10
"381-55-02",733,"sample","25-55-01","381",1,"55-02",1,1,"1st envelope","7",204.25,55,2
"16-1-4",929,"sample","12-106-02","177",1,"16-04",4,1,"","7",204.25,16,4
"120-1-14",983,"sample","0056","233",1,"120-14",4,1,"","7",250.25,120,14
"100-1-3",779,"sample","23-100-05","17",1,"100-03",4,1,"1st envelope","7",204.25,100,3
"26-1-7",805,"sample","2213","45",1,"26-07",4,1,"1st envelope","7",250.25,26,7
"13-27-03",80,"sample","13-27-05","13",1,"27-03",3,1,"1st envelope","12",250.25,27,3
"26-1-10",827,"sample","2213","67",1,"26-10",4,1,"","7",250.25,26,10
"34-2-7",1012,"sample","3002","262",2,"34-07",4,2,"","7",250.25,34,7
"34-2-12",887,"sample","2213","132",2,"34-12",4,1,"not many hairs with roots","7",250.25,34,12
"69-98-05",148,"sample","12-106-02","69",2,"98-05",2,1,"1st envelope","7",204.25,98,5
"329-36-10",1083,"sample","31-60-03","329",2,"36-10",3,2,"not bear?, 1st envelope","7",204.25,36,10
"34-2-5",996,"sample","67-114-04","246",2,"34-05",4,2,"","7",204.25,34,5
"96-2-12",891,"sample","0056","136",2,"96-02",4,1,"","7",250.25,96,2
"56-2-2",824,"sample","25-55-01","64",2,"56-02",4,1,"1st envelope","7",204.25,56,2
"35-2-6",958,"sample","2213","207",2,"35-06",4,1,"","7",250.25,35,6
"324-10-02",1080,"sample","13-27-05","324",2,"10-02",3,2,"","7",250.25,10,2
"57-27-01",57,"sample","12-106-02","57",2,"27-01",1,1,"","12",204.25,27,1
"46-87-01",118,"sample","12-106-02","46",2,"87-01",2,1,"coarse underfur","7",204.25,87,1
"35-2-3",1028,"sample","3002","279",2,"35-03",4,2,"coarse underfur","7",250.25,35,3
"39-36-01",111,"sample","12-106-02","39",2,"36-01",3,1,"1st envelope","7",204.25,36,1
"93-55-03",1103,"sample","25-55-01","93",2,"55-03",3,3,"","7",204.25,55,3
"15-2-1",937,"sample","13-27-05","185",2,"15-01",4,1,"coarse underfur","7",250.25,15,1
"75-100-01",162,"sample","23-100-05","75",2,"100-01",1,1,"","7",204.25,100,1
"89-67-01",193,"sample","25-55-01","89",2,"67-01",3,1,"1st envelope","7",204.25,67,1
"11-2-1",866,"sample","13-27-05","110",2,"1-Nov",4,1,"","7",250.25,1,NA
"74-106-04",159,"sample","12-106-02","74",2,"106-04",1,1,"1st envelope","7",204.25,106,4
"59-11-04",133,"sample","13-27-05","59",2,"11-04",2,1,"","7",250.25,11,4
"62-1-03",139,"sample","31-60-03","62",2,"1-03",2,1,"1st envelope","7",204.25,1,3
"35-2-8",847,"sample","2213","89",2,"35-08",4,1,"weird coarse underfur","7",250.25,35,8
"58-18-02",58,"sample","56-28-01","58",2,"18-02",1,1,"","11",204.25,18,2
"61-22-02",61,"sample","31-60-03","61",2,"22-02",1,1,"1st envelope","11",204.25,22,2
"26-2-3",1013,"sample","41-26-05","263",2,"26-03",4,2,"1st envelope","7",204.25,26,3
"79-84-03",172,"sample","50-50-01","79",2,"84-03",3,1,"","7",204.25,84,3
"18-2-1",947,"sample","56-28-01","196",2,"18-01",4,1,"","7",204.25,18,1
"39-36-05",39,"sample","2213","39",2,"36-05",1,1,"","12",250.25,36,5
"67-114-04",67,"sample","67-114-04","67",2,"114-04",1,1,"","24",204.25,114,4
"38-34-09",1034,"sample","38-34-09","38",2,"34-09",2,2,"2nd envelope","7",204.25,34,9
"388-90-06",746,"sample","25-55-01","388",2,"90-06",1,1,"","7",204.25,90,6
"36-57-01",36,"sample","35-69-01","36",2,"57-01",1,1,"","12",250.25,57,1
"77-85-01",165,"sample","10-86-01","77",2,"85-01",1,1,"","7",204.25,85,1
"84-66-03",181,"sample","84-66-02","84",2,"66-03",2,1,"1st envelope","7",250.25,66,3
"125-10-03",265,"sample","3002","125",2,"10-03",3,1,"","7",250.25,10,3
"26-2-6",972,"sample","31-60-03","222",2,"26-06",4,1,"2nd envelope","7",204.25,26,6
"79-84-04",171,"sample","50-50-01","79",2,"84-04",2,1,"1st envelope","7",204.25,84,4
"80-83-02",173,"sample","67-114-04","80",2,"83-02",1,1,"1st envelope","7",204.25,83,2
"10-2-10",995,"sample","13-27-05","245",2,"10-Oct",4,2,"","7",250.25,10,NA
"72-119-04",154,"sample","6-87-08","72",2,"119-04",2,1,"1st envelope","24",250.25,119,4
"56-2-4",843,"sample","35-69-01","85",2,"56-04",4,1,"","7",250.25,56,4
"90-88-02",195,"sample","25-55-01","90",2,"88-02",3,1,"1st envelope","7",204.25,88,2
"10-2-9",857,"sample","13-27-05","101",2,"9-Oct",4,1,"","7",250.25,9,NA
"64-8-02",142,"sample","56-28-01","64",2,"8-02",2,1,"1st envelope","7",204.25,8,2
"32-59-03",103,"sample","12-106-02","32",2,"59-03",3,1,"","7",204.25,59,3
"60-16-06",136,"sample","13-27-05","60",2,"16-06",3,1,"","7",250.25,16,6
"387-83-05",744,"sample","12-106-02","387",2,"83-05",1,1,"1st envelope","7",204.25,83,5
"157-34-03",324,"sample","67-114-04","157",2,"34-03",3,1,"","10",204.25,34,3
"36-2-11",1000,"sample","3002","250",2,"36-11",4,2,"1st envelope","7",250.25,36,11
"11-2-5",772,"sample","13-27-05","10",2,"5-Nov",4,1,"","7",250.25,5,NA
"63-2-01",141,"sample","31-60-03","63",2,"2-01",2,1,"blonde hairs, 1st envelope","7",204.25,2,1
"99-2-7",901,"sample","12-106-02","147",2,"99-07",4,1,"1st envelope","7",204.25,99,7
"35-2-7",893,"sample","38-34-09","138",2,"35-07",4,1,"1st envelope","7",204.25,35,7
"49-20-01",122,"sample","49-20-03","49",2,"20-01",3,1,"mostly underfur left, 1st envelope","7",250.25,20,1
"43-15-10",115,"sample","13-27-05","43",2,"15-10",3,1,"","7",250.25,15,10
"66-120-01",66,"sample","0056","66",2,"120-01",1,1,"1st envelope","11",250.25,120,1
"74-106-05",161,"sample","12-106-02","74",2,"106-05",3,1,"1st envelope","7",204.25,106,5
"62-1-02",140,"sample","31-60-03","62",2,"1-02",3,1,"1st envelope, blonde hairs","7",204.25,1,2
"284-77-01",560,"sample","25-55-01","284",2,"77-01",3,1,"1st envelope","7",204.25,77,1
"271-36-12",535,"sample","2213","271",2,"36-12",3,1,"","7",250.25,36,12
"56-28-02",128,"sample","56-28-01","56",2,"28-02",2,1,"","7",204.25,28,2
"65-10-01",143,"sample","13-27-05","65",2,"10-01",2,1,"","7",250.25,10,1
"32-59-02",102,"sample","12-106-02","32",2,"59-02",2,1,"1st envelope","7",204.25,59,2
"34-46-02",106,"sample","31-60-03","34",2,"46-02",3,1,"","7",204.25,46,2
"60-16-09",135,"sample","13-27-05","60",2,"16-09",2,1,"1st envelope","7",250.25,16,9
"22-67-06",91,"sample","25-55-01","22",2,"67-06",3,1,"2nd envelope","11",204.25,67,6
"16-96-03",83,"sample","12-106-02","16",2,"96-03",3,1,"","11",204.25,96,3
"84-66-01",182,"sample","84-66-02","84",2,"66-01",3,1,"","7",250.25,66,1
"71-108-01",151,"sample","67-114-04","71",2,"108-01",1,1,"1st envelope","7",204.25,108,1
"35-2-1",1016,"sample","2213","267",2,"35-01",4,2,"","7",250.25,35,1
"33-48-02",1033,"sample","31-60-03","33",2,"48-02",3,2,"1st envelope","7",204.25,48,2
"44-14-04",44,"sample","2213","44",2,"14-04",1,1,"","12",250.25,14,4
"78-72-05",168,"sample","78-72-05","78",2,"72-05",1,1,"1st envelope","24",204.25,72,5
"61-22-03",137,"sample","31-60-03","61",2,"22-03",2,1,"1st envelope","7",204.25,22,3
"52-75-02",1038,"sample","12-106-02","52",2,"75-02",3,2,"","7",204.25,75,2
"383-33-09",1092,"sample","31-60-03","383",3,"33-09",3,2,"1st envelope","7",204.25,33,9
"95-34-07",204,"sample","2213","95",3,"34-07",3,1,"","7",250.25,34,7
"95-48-01",202,"sample","31-60-03","95",3,"48-01",1,1,"1st envelope, upper/lower designation hard to read","7",204.25,48,1
"146-96-02",304,"sample","31-60-03","146",3,"96-02",1,1,"","7",204.25,96,2
"120-18-05",253,"sample","13-27-05","120",3,"18-05",3,1,"","7",250.25,18,5
"372-2-02",718,"sample","12-106-02","372",3,"2-02",3,1,"","7",204.25,2,2
"16-90-01",16,"sample","25-55-01","16",3,"90-01",2,NA,"","7",204.25,90,1
"119-27-06",250,"sample","12-106-02","119",3,"27-06",2,1,"","7",204.25,27,6
"130-15-01",273,"sample","13-27-05","130",3,"15-01",3,1,"1st envelope","7",250.25,15,1
"102-26-02",219,"sample","2213","102",3,"26-02",2,1,"","7",250.25,26,2
"158-55-06",325,"sample","25-55-01","158",3,"55-06",1,1,"","7",204.25,55,6
"152-89-01",312,"sample","25-55-01","152",3,"89-01",1,1,"2nd envelope","7",204.25,89,1
"11-3-4",842,"sample","13-27-05","83",3,"11-04",4,1,"","7",250.25,11,4
"95-48-02",203,"sample","31-60-03","95",3,"48-02",2,1,"","7",204.25,48,2
"136-98-01",287,"sample","47-64-04","136",3,"98-01",3,1,"","7",250.25,98,1
"55-3-5",969,"sample","24-66-03","218",3,"55-05",4,1,"","7",204.25,55,5
"138-106-02",289,"sample","67-114-04","138",3,"106-02",1,1,"1st envelope","7",204.25,106,2
"296-22-05",579,"sample","31-60-03","296",3,"22-05",3,1,"maybe not bear?","7",204.25,22,5
"112-29-01",235,"sample","45-29-01","112",3,"29-01",1,1,"","7",204.25,29,1
"391-42-02",750,"sample","24-66-03","391",3,"42-02",1,1,"","7",204.25,42,2
"18-3-4",1010,"sample","13-27-05","260",3,"18-04",4,2,"","7",250.25,18,4
"62-3-3",768,"sample","12-106-02","5",3,"62-03",4,1,"","7",204.25,62,3
"103-36-01",221,"sample","38-34-09","103",3,"36-01",1,1,"don’t think there are many roots on hairs","7",204.25,36,1
"36-3-2",988,"sample","2213","238",3,"36-02",4,2,"1st envelope","7",250.25,36,2
"106-34-04",226,"sample","2213","106",3,"34-04",1,1,"","8",250.25,34,4
"153-90-03",314,"sample","25-55-01","153",3,"90-03",1,1,"1st envelope","7",204.25,90,3
"100-14-02",216,"sample","2213","100",3,"14-02",1,1,"uf left","8",250.25,14,2
"98-57-02",211,"sample","35-69-01","98",3,"57-02",2,1,"","7",250.25,57,2
"104-25-02",223,"sample","2213","104",3,"25-02",2,NA,"","8",250.25,25,2
"118-28-03",247,"sample","13-27-05","118",3,"28-03",2,1,"","7",250.25,28,3
"48-14-04",121,"sample","2213","48",3,"14-04",2,1,"","7",250.25,14,4
"22-3-6",810,"sample","31-60-03","50",3,"22-06",4,1,"1st envelope","7",204.25,22,6
"102-26-03",220,"sample","31-60-03","102",3,"26-03",3,1,"","7",204.25,26,3
"117-50-01",244,"sample","10-86-01","117",3,"50-01",1,1,"faded at tip, almost look like griz, pretty much uf left","7",204.25,50,1
"69-3-4",836,"sample","97-69-05","77",3,"69-04",4,1,"","7",204.25,69,4
"94-71-04",201,"sample","67-114-04","94",3,"71-04",1,1,"","7",204.25,71,4
"130-114-01",271,"sample","67-114-04","130",3,"114-01",1,1,"1st envelope","7",204.25,114,1
"149-72-02",309,"sample","10-86-01","149",3,"72-02",2,1,"","7",204.25,72,2
"96-46-05",206,"sample","31-60-03","96",3,"46-05",2,1,"1st envelope","7",204.25,46,5
"92-3-1",850,"sample","67-114-04","92",3,"92-01",4,1,"1st envelope","7",204.25,92,1
"100-3-3",994,"sample","7-34-11","244",3,"100-03",4,2,"","7",204.25,100,3
"230-92-06",461,"sample","0056","230",3,"92-06",3,1,"1st envelope","7",250.25,92,6
"8-92-04",72,"sample","0056","8",3,"92-04",2,1,"","24",250.25,92,4
"101-15-02",218,"sample","13-27-05","101",3,"15-02",1,1,"","7",250.25,15,2
"139-93-01",291,"sample","30-120-03","139",3,"93-01",1,1,"coarse underfur, 1st envelope","7",250.25,93,1
"121-22-03",1047,"sample","31-60-03","121",3,"22-03",3,2,"coarse underfur, 1st envelope","7",204.25,22,3
"381-92-07",735,"sample","0056","381",3,"92-07",3,1,"1st envelope","7",250.25,92,7
"46-3-4",828,"sample","67-114-04","68",3,"46-04",4,1,"1st envelope","7",204.25,46,4
"108-64-01",230,"sample","47-64-04","108",3,"64-01",2,1,"","7",250.25,64,1
"140-92-05",292,"sample","0056","140",3,"92-05",1,1,"1st envelope","8",250.25,92,5
"116-62-02",1045,"sample","10-86-01","116",3,"62-02",3,2,"","7",204.25,62,2
