"Sample","Lab.ID","Class","Individual","Bundle.No.","Period","Event.ID","Priority","Selected","Comments","Loci","Sex","site","cid"
"90-4-1",1002,"sample","25-55-01","252",4,"90-01",4,2,"1st envelope","7",204.25,90,1
"128-16-02",269,"sample","13-27-05","128",3,"16-02",1,1,"","7",250.25,16,2
"185-114-05",377,"sample","67-114-04","185",2,"114-05",3,1,"1st envelope","7",204.25,114,5
"221-100-05",443,"sample","7-34-11","221",4,"100-05",2,1,"","7",204.25,100,5
"220-102-01",439,"sample","133-116-01","220",4,"102-01",1,1,"1st envelope","7",204.25,102,1
"50-3-2",840,"sample","19-50-05","81",3,"50-02",4,1,"1st envelope","7",250.25,50,2
"142-14-05",1049,"sample","38-34-09","142",3,"14-05",3,2,"1st envelope","7",204.25,14,5
"29-4-7",982,"sample","45-29-01","232",4,"29-07",4,1,"","7",204.25,29,7
"234-89-06",467,"sample","25-55-01","234",4,"89-06",3,1,"","7",204.25,89,6
"170-36-03",1051,"sample","3002","170",4,"36-03",2,2,"","7",250.25,36,3
"25-55-01",25,"sample","25-55-01","25",1,"55-01",1,1,"1st envelope","24",204.25,55,1
"325-24-02",629,"sample","2213","325",6,"24-02",1,1,"","7",250.25,24,2
"235-77-02",469,"sample","235-77-01","235",4,"77-02",2,1,"1st envelope","7",250.25,77,2
"157-34-03",324,"sample","67-114-04","157",2,"34-03",3,1,"","10",204.25,34,3
"52-75-04",124,"sample","12-106-02","52",2,"75-04",2,1,"","7",204.25,75,4
"387-83-01",745,"sample","67-114-04","387",2,"83-01",3,1,"","7",204.25,83,1
"335-38-01",646,"sample","13-27-05","335",6,"38-01",1,1,"","7",250.25,38,1
"286-99-04",562,"sample","6-87-08","286",5,"99-04",1,1,"1st envelope","7",250.25,99,4
"316-60-04",611,"sample","2213","316",6,"60-04",2,1,"","7",250.25,60,4
"318-59-03",615,"sample","12-106-02","318",6,"59-03",2,1,"","7",204.25,59,3
"26-67-01",26,"sample","25-55-01","26",1,"67-01",1,1,"1st envelope","12",204.25,67,1
"220-62-06",440,"sample","10-86-01","220",4,"62-06",2,1,"coarse underfur","7",204.25,62,6
"197-22-03",399,"sample","17-2-02","197",4,"22-03",2,1,"1st envelope","7",204.25,22,3
"10-5-3",848,"sample","12-106-02","90",5,"10-03",4,1,"some underfur left","7",204.25,10,3
"195-11-02",394,"sample","12-106-02","195",4,"11-02",1,1,"1st envelope","7",204.25,11,2
"56-2-8",998,"sample","25-55-01","248",2,"56-08",4,2,"","7",204.25,56,8
"388-90-06",746,"sample","25-55-01","388",2,"90-06",1,1,"","7",204.25,90,6
"100-1-8",820,"sample","23-100-05","60",1,"100-08",4,1,"","7",204.25,100,8
"343-17-02",665,"sample","12-106-02","343",6,"17-02",1,1,"","11",204.25,17,2
"267-75-03",526,"sample","12-106-02","267",5,"75-03",1,1,"","7",204.25,75,3
"11-75-01",76,"sample","10-86-01","11",1,"75-01",3,1,"","11",204.25,75,1
"339-105-06",655,"sample","67-114-04","339",4,"105-06",2,1,"1st envelope","7",204.25,105,6
"43-15-10",115,"sample","13-27-05","43",2,"15-10",3,1,"","7",250.25,15,10
