"g0.bTRUE","Model","Subtype"
"1",-0.0103698859583588,"Model A","SimpleRandom"
"1",-0.0075133191428279,"Model A","SimpleRandom"
"1",-0.0162611586516379,"Model A","SimpleRandom"
"1",-0.00916064017948925,"Model A","SimpleRandom"
"1",-0.00965140771890157,"Model A","SimpleRandom"
"1",-0.00549723562925926,"Model A","SimpleRandom"
"1",-0.00797701205597857,"Model A","SimpleRandom"
"1",-0.00549682765078217,"Model A","SimpleRandom"
"1",-0.00798100701087399,"Model A","SimpleRandom"
"1",-0.00614613209989857,"Model A","SimpleRandom"
"1",-0.00549410454665937,"Model A","SimpleRandom"
"1",-0.00714945404557049,"Model A","SimpleRandom"
"1",-0.0111244888406269,"Model A","SimpleRandom"
"1",-0.0104649197371979,"Model A","SimpleRandom"
"1",-0.00962129169433228,"Model A","SimpleRandom"
"1",-0.00700669623485417,"Model A","SimpleRandom"
"1",-0.0089194959750795,"Model A","SimpleRandom"
"1",-0.007071863569557,"Model A","SimpleRandom"
"1",-0.00811847926286235,"Model A","SimpleRandom"
"1",-0.00892042420798684,"Model A","SimpleRandom"
"1",-0.00984614718007308,"Model A","SimpleRandom"
"1",-0.0123311535096385,"Model A","SimpleRandom"
"1",-0.00450515461990047,"Model A","SimpleRandom"
"1",-0.0137052207484812,"Model A","SimpleRandom"
"1",-0.0125833728724927,"Model A","SimpleRandom"
"1",-0.00502571032179073,"Model A","SimpleRandom"
"1",-0.00540699005722098,"Model A","SimpleRandom"
"1",-0.0109373877477094,"Model A","SimpleRandom"
"1",-0.0104860586714284,"Model A","SimpleRandom"
"1",-0.0084505565287399,"Model A","SimpleRandom"
"1",-0.0117966179202113,"Model A","SimpleRandom"
"1",-0.00733791553068896,"Model A","SimpleRandom"
"1",-0.00880576965385191,"Model A","SimpleRandom"
"1",-0.0128188145832194,"Model A","SimpleRandom"
"1",-0.0132597149232828,"Model A","SimpleRandom"
"1",-0.00858281620114399,"Model A","SimpleRandom"
"1",-0.00777155522742263,"Model A","SimpleRandom"
"1",-0.00946081403677574,"Model A","SimpleRandom"
"1",-0.00417677359318535,"Model A","SimpleRandom"
"1",-0.00950015420207076,"Model A","SimpleRandom"
"1",-0.010306793469998,"Model A","SimpleRandom"
"1",-0.00623976987295443,"Model A","SimpleRandom"
"1",-0.00823884560882799,"Model A","SimpleRandom"
"1",-0.0131536406495583,"Model A","SimpleRandom"
"1",-0.0119027871543776,"Model A","SimpleRandom"
"1",-0.0146002717129889,"Model A","SimpleRandom"
"1",-0.00778801096987412,"Model A","SimpleRandom"
"1",-0.00899107725002807,"Model A","SimpleRandom"
"1",-0.00866228317247062,"Model A","SimpleRandom"
"1",-0.0122822899788957,"Model A","SimpleRandom"
"1",-0.00834738133738176,"Model A","SimpleRandom"
"1",-0.00765995700432954,"Model A","SimpleRandom"
"1",-0.00625087761062172,"Model A","SimpleRandom"
"1",-0.0086173540220369,"Model A","SimpleRandom"
"1",-0.0100291223364367,"Model A","SimpleRandom"
"1",-0.0105852024456909,"Model A","SimpleRandom"
"1",-0.00801076797515645,"Model A","SimpleRandom"
"1",-0.00549960946988441,"Model A","SimpleRandom"
"1",-0.00783625389106371,"Model A","SimpleRandom"
"1",-0.00690336258588888,"Model A","SimpleRandom"
"1",-0.00815124596321757,"Model A","SimpleRandom"
"1",-0.00841675939819953,"Model A","SimpleRandom"
"1",-0.0129423664359755,"Model A","SimpleRandom"
"1",-0.00931625247271671,"Model A","SimpleRandom"
"1",-0.00896495986365406,"Model A","SimpleRandom"
"1",-0.00586049130177659,"Model A","SimpleRandom"
"1",-0.0089588686671354,"Model A","SimpleRandom"
"1",-0.00664428648862534,"Model A","SimpleRandom"
"1",-0.00653323977603609,"Model A","SimpleRandom"
"1",-0.00720245702331822,"Model A","SimpleRandom"
"1",-0.0130629135746637,"Model A","SimpleRandom"
"1",-0.0104350810909459,"Model A","SimpleRandom"
"1",-0.0104253204592811,"Model A","SimpleRandom"
"1",-0.0099182507138527,"Model A","SimpleRandom"
"1",-0.00244247217939754,"Model A","SimpleRandom"
"1",-0.00849595607242912,"Model A","SimpleRandom"
"1",-0.0118734452332319,"Model A","SimpleRandom"
"1",-0.00686074504657689,"Model A","SimpleRandom"
"1",-0.0132390209283514,"Model A","SimpleRandom"
"1",-0.0103724219351448,"Model A","SimpleRandom"
"1",-0.00761943071523933,"Model A","SimpleRandom"
"1",-0.0119584513621361,"Model A","SimpleRandom"
"1",-0.00813669934729372,"Model A","SimpleRandom"
"1",-0.00705397735006529,"Model A","SimpleRandom"
"1",-0.00833153171506621,"Model A","SimpleRandom"
"1",-0.0126697815962666,"Model A","SimpleRandom"
"1",-0.00630943686949374,"Model A","SimpleRandom"
"1",-0.00874947365052873,"Model A","SimpleRandom"
"1",-0.00836969287048428,"Model A","SimpleRandom"
"1",-0.00594857213212268,"Model A","SimpleRandom"
"1",-0.00752709887445355,"Model A","SimpleRandom"
"1",-0.00796046081109619,"Model A","SimpleRandom"
"1",-0.00644288842980512,"Model A","SimpleRandom"
"1",-0.013973780075742,"Model A","SimpleRandom"
"1",-0.00550777120359594,"Model A","SimpleRandom"
"1",-0.00682609235883303,"Model A","SimpleRandom"
"1",-0.0119491894893236,"Model A","SimpleRandom"
"1",-0.013094074311906,"Model A","SimpleRandom"
"1",-0.00960157635582356,"Model A","SimpleRandom"
"1",-0.0121743491164746,"Model A","SimpleRandom"
"1",-0.00615403444818686,"Model A","SimpleRandom"
"1",-0.00609570109289523,"Model A","SimpleRandom"
"1",-0.00722339550886327,"Model A","SimpleRandom"
"1",-0.00758976817620896,"Model A","SimpleRandom"
"1",-0.0132660763523493,"Model A","SimpleRandom"
"1",-0.011506993762225,"Model A","SimpleRandom"
"1",-0.00496376984517074,"Model A","SimpleRandom"
"1",-0.0122844581899404,"Model A","SimpleRandom"
"1",-0.00677351822988246,"Model A","SimpleRandom"
"1",-0.00572925240251689,"Model A","SimpleRandom"
"1",-0.00355069637684884,"Model A","SimpleRandom"
"1",-0.00476971017414956,"Model A","SimpleRandom"
"1",-0.016483712067056,"Model A","SimpleRandom"
"1",-0.00913925140972945,"Model A","SimpleRandom"
"1",-0.0146695708912848,"Model A","SimpleRandom"
"1",-0.00740503487567251,"Model A","SimpleRandom"
"1",-0.00745967211611767,"Model A","Spread.one"
"1",-0.00425897209768625,"Model A","Spread.one"
"1",-0.006919004447651,"Model A","Spread.one"
"1",-0.00639082646641694,"Model A","Spread.one"
"1",-0.00471413722438152,"Model A","Spread.one"
"1",-0.00508318516333243,"Model A","Spread.one"
"1",-0.00732123796927784,"Model A","Spread.one"
"1",-0.00578246166787997,"Model A","Spread.one"
"1",-0.00508314093349022,"Model A","Spread.one"
"1",-0.00732405494602415,"Model A","Spread.one"
"1",-0.00578219366969223,"Model A","Spread.one"
"1",-0.00507893925324268,"Model A","Spread.one"
"1",-0.00508061283811719,"Model A","Spread.one"
"1",-0.00746659476562624,"Model A","Spread.one"
"1",-0.0078050484306713,"Model A","Spread.one"
"1",-0.00875563297942545,"Model A","Spread.one"
"1",-0.00832465744995756,"Model A","Spread.one"
"1",-0.00687200848235688,"Model A","Spread.one"
"1",-0.00606600939896869,"Model A","Spread.one"
"1",-0.00848164803397832,"Model A","Spread.one"
"1",-0.00626247881247935,"Model A","Spread.one"
"1",-0.00423937837093074,"Model A","Spread.one"
"1",-0.00835622214905255,"Model A","Spread.one"
"1",-0.00401585174624651,"Model A","Spread.one"
"1",-0.00317671791431068,"Model A","Spread.one"
"1",-0.00363702549814057,"Model A","Spread.one"
"1",-0.00998547226937496,"Model A","Spread.one"
"1",-0.00575739769855627,"Model A","Spread.one"
"1",-0.00557992415786909,"Model A","Spread.one"
"1",-0.00430121755417066,"Model A","Spread.one"
"1",-0.00818333848357383,"Model A","Spread.one"
"1",-0.00632736479415271,"Model A","Spread.one"
"1",-0.00566471271048728,"Model A","Spread.one"
"1",-0.00439326721200537,"Model A","Spread.one"
"1",-0.00574023652409514,"Model A","Spread.one"
"1",-0.00511953791114149,"Model A","Spread.one"
"1",-0.00724864713096744,"Model A","Spread.one"
"1",-0.00474688748949178,"Model A","Spread.one"
"1",-0.00753395253639557,"Model A","Spread.one"
"1",-0.00518917720717234,"Model A","Spread.one"
"1",-0.00640139730382815,"Model A","Spread.one"
"1",-0.00552015621707568,"Model A","Spread.one"
"1",-0.00487526389042524,"Model A","Spread.one"
"1",-0.00526574016975608,"Model A","Spread.one"
"1",-0.00685545372539506,"Model A","Spread.one"
"1",-0.00684085674996635,"Model A","Spread.one"
"1",-0.0051280881492498,"Model A","Spread.one"
"1",-0.0034193873529117,"Model A","Spread.one"
"1",-0.00607281113410233,"Model A","Spread.one"
"1",-0.00761661881259404,"Model A","Spread.one"
"1",-0.0060878583673301,"Model A","Spread.one"
"1",-0.00607555815864959,"Model A","Spread.one"
"1",-0.00819981237232189,"Model A","Spread.one"
"1",-0.00530851458551447,"Model A","Spread.one"
"1",-0.00457151277381686,"Model A","Spread.one"
"1",-0.00368313031359617,"Model A","Spread.one"
"1",-0.00398504696387366,"Model A","Spread.one"
"1",-0.00910900784197715,"Model A","Spread.one"
"1",-0.00433544002892525,"Model A","Spread.one"
"1",-0.00497263535966636,"Model A","Spread.one"
"1",-0.00758527371445581,"Model A","Spread.one"
"1",-0.00372591561983684,"Model A","Spread.one"
"1",-0.00693879788295703,"Model A","Spread.one"
"1",-0.00580098126077659,"Model A","Spread.one"
"1",-0.00635482429646015,"Model A","Spread.one"
"1",-0.00640935298902752,"Model A","Spread.one"
"1",-0.00753716754036842,"Model A","Spread.one"
"1",-0.00763898903958447,"Model A","Spread.one"
"1",-0.00688514189954531,"Model A","Spread.one"
"1",-0.00739624979349413,"Model A","Spread.one"
"1",-0.0059041891425019,"Model A","Spread.one"
"1",-0.00427728737952419,"Model A","Spread.one"
"1",-0.00778433712782118,"Model A","Spread.one"
"1",-0.00726988408699659,"Model A","Spread.one"
"1",-0.00679850515321543,"Model A","Spread.one"
"1",-0.00476008774829533,"Model A","Spread.one"
"1",-0.00817439781970752,"Model A","Spread.one"
"1",-0.00876422509625362,"Model A","Spread.one"
"1",-0.00561947406727848,"Model A","Spread.one"
"1",-0.00802357482876586,"Model A","Spread.one"
"1",-0.00700301003360212,"Model A","Spread.one"
"1",-0.00766492036399054,"Model A","Spread.one"
"1",-0.00743428607723647,"Model A","Spread.one"
"1",-0.00787017783884644,"Model A","Spread.one"
"1",-0.00745955844257557,"Model A","Spread.one"
"1",-0.00407812071972051,"Model A","Spread.one"
"1",-0.00863570638688703,"Model A","Spread.one"
