Sample,Lab ID,Class,Individual,Bundle No.,Period,Event ID,Priority,Selected,Bear No.,,#G,#U,Left,U/L,Comments,,Loci,CXX20,G1D,G10M,MSUT2,MU50,G10X,G10P,REN144 A06,G1A,G10C,D1A,G10J,G10L,CPH9,CXX110,D123,MU26,G10U,MU59,REN145 P07,G10B,MU23,G10H,Sex
120-1-1,885,sample,0056,130,1,120-01,4,1,,,,30,A,L,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
380-120-03,732,sample,0056,380,1,120-03,3,1,,,10,,A,L,, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
120-1-6,1004,sample,0056,254,1,120-06,4,2,,,10,,A,L,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
380-120-07,731,sample,0056,380,1,120-07,2,1,,,10,,A,L,, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
20-120-09,20,sample,0056,20,1,120-09,2,3,,,,30,A,L,1st envelope, ,15,123.137,176.186,214.218,205.207,134.136,133.147,,129.129,194.194,,157.179,207.211,137.159,,,141.145,,,,,,203.207,239.241,250.250
20-120-10,87,sample,0056,20,1,120-10,3,1,,,10,,A,U,, ,12,123.137,176.186,214.218,205.207,134.136,133.147,163.163,,,,,207.211,137.159,,,,,,233.237,,,,239.241,250.250
120-1-11,961,sample,0056,210,1,120-11,4,1,,,,30,C,U,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
120-1-12,965,sample,0056,214,1,120-12,4,1,,,10,,A,L,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
120-1-14,983,sample,0056,233,1,120-14,4,1,,,5,,C,U,, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
66-120-01,66,sample,0056,66,2,120-01,1,1,,,10,,A,L,1st envelope, ,11,123.137,176.186,214.218,205.207,134.136,133.147,61.163,,,,,207.211,137.159,,,,,,233.237,,,,239.241,250.250
96-2-12,891,sample,0056,136,2,96-02,4,1,,,10,,A,L,, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
76-96-07,164,sample,0056,76,2,96-07,3,1,,,10,,A,L,, ,8,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,207.211,,,,,,,,,,,,250.250
335-96-11,648,sample,0056,335,2,96-11,3,1,,,,20,C,L,1st envelope, ,7,123.137,176.186,214.218,205.207,134.136,133.147,,,,,,,,,,,,,,,,,,250.250
